course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude,census_name,raw_acres,dist_meters,final_acres
Briar Bay Golf Course,9373 SW 134th St,Miami,FL,33176-5744,Municipal,9 Holes,(305) 235-6667,-80.346412,25.645366,Hollywood Lakes Country Club,174.9995068543443,38694.42427632475,NA
Melreese Golf Course/International Links Miami,1802 NW 37th Ave,Miami,FL,33125-1052,Municipal,18 Holes,(305) 633-4583,-80.256209,25.791363,Hollywood Lakes Country Club,174.9995068543443,24169.830599792676,NA
Palmetto Golf Course,9300 SW 152nd St,Miami,FL,33157-1777,Municipal,18 Holes,(305) 235-1069,-80.343802,25.628804,Hollywood Lakes Country Club,174.9995068543443,40537.27304670306,NA
Westview Country Club,2601 NW 119th St,Miami,FL,33167-2665,Private,18 Holes,(305) 685-2411,-80.242035,25.882947,Hollywood Lakes Country Club,174.9995068543443,16051.546131453202,NA
Calusa Country Club,9400 SW 130th Ave,Miami,FL,33186-1773,Public,18 Holes,(305) 386-5533,-80.406902,25.680824,Hollywood Lakes Country Club,174.9995068543443,35191.354949433175,NA
Costa Greens Golf Club,100 Costa del Sol Blvd,Miami,FL,33178-2310,Public,18 Holes,(305) 592-9210,-80.361429,25.808406,Hollywood Lakes Country Club,174.9995068543443,20587.891313442415,NA
Doral Resort & Country Club,4400 NW 87th Ave,Miami,FL,33178-2101,Public,72 Holes,(800) 936-7259,-80.337688,25.812467,Hollywood Lakes Country Club,174.9995068543443,20129.469908907435,NA
Doral Silver Course,5001 NW 104th Ave,Miami,FL,33178-2219,Public,18 Holes,(305) 477-1906,-80.363545,25.818508,Hollywood Lakes Country Club,174.9995068543443,19478.096190120275,NA
Killian Greens Golf Club,9980 SW 104th St,Miami,FL,33176-2847,Public,18 Holes,(305) 271-0917,-80.356703,25.6727,Hollywood Lakes Country Club,174.9995068543443,35657.14141536686,NA
Miccosukee Golf and County Club,6401 Kendale Lakes Dr,Miami,FL,33183-1801,Public,54 Holes,(305) 382-3931,-80.428734,25.706413,Hollywood Lakes Country Club,174.9995068543443,32830.18009582647,NA
Tanglewood Golf & Country Club,5916 Tanglewood Dr,Milton,FL,32570-8212,Public,18 Holes,(850) 623-6176,-87.080161,30.651319,Jack Gaither Golf Course,118.56144952303664,267844.3641078064,NA
The Moors Golf & Lodging,3220 Avalon Blvd,Milton,FL,32583-5572,Public,18 Holes,(800) 727-1010,-87.087027,30.554329,Jack Gaither Golf Course,118.56144952303664,267746.0392881305,NA
Whiting Field Navy Golf Course,Whiting Field/Bldg. 2895 WFN GC,Milton,FL,32570,Public,18 Holes,(850) 623-7348,-87.038158,30.633602,Jack Gaither Golf Course,118.56144952303664,263669.52117317787,NA
Indian River Preserve Golf Club,3950 Club House Dr,Mims,FL,32754,Public,18 Holes,(321) 385-2099,-80.868429,28.690435,Eastwood Golf Club,264.94299446395775,33673.412979082,NA
Miromar Lakes Golf Club,18520 Miromar Lakes Blvd W,Miromar Lakes,FL,18520,Semi Private,18 Holes,(239) 482-7644,-81.786726,26.473646,Capri Isles Golf Club,335.91744334392996,93249.12667776499,NA
Jefferson Country Club,748 Grooverville Rd,Monticello,FL,32344,Public,9 Holes,(850) 997-5484,-83.859553,30.56753,Killearn Golf and Country Club,171.6868410528261,33209.182425850915,NA
Bella Collina Golf Club,15920 County Road 455,Montverde,FL,15920,Private,18 Holes,(866) 732-3552,-81.682753,28.580591,West Orange Country Club,162.0285177675615,11612.718566439937,NA
The Glades Resort,1679 Indian Hills Dr,Moore Haven,FL,33471-8122,Public,9 Holes,(863) 983-8464,-81.231942,26.779043,Belle Glade Club Golf Course,53.82269909783169,52077.156019596536,NA
Blackstone Golf Course,108 Blackstone Lane,Mossy Head,FL,32433,Public,18 Holes,(850) 520-4670,-86.334054,30.74067,Jack Gaither Golf Course,118.56144952303664,198434.90807144644,NA
Country Club of Mount Dora,1900 Country Club Blvd,Mount Dora,FL,32757-6904,Public,18 Holes,(352) 735-2263,-81.624049,28.82911,West Orange Country Club,162.0285177675615,36060.274975293505,NA
Mount Dora Golf Club,1100 S Highland St,Mount Dora,FL,32757-6311,Public,18 Holes,(352) 383-3954,-81.63589,28.787572,West Orange Country Club,162.0285177675615,31565.53613088237,NA
Angler's Green Golf Course,3500 State Road 37 N,Mulberry,FL,33860-8630,Semi Private,9 Holes,(863) 425-4551,-81.974091,27.917149,Imperial Lakes Golf Course,161.01564045581824,391.8973693502997,161.01564045581824
Imperial Lakes Country Club,6 Country Club Ln,Mulberry,FL,33860-8606,Public,18 Holes,(863) 425-1154,-81.990919,27.928826,Jeckel-Hyde Golf Course,73.65810106251848,0,73.65810106251848
Reservation Golf Course,4000 State Road 37 N,Mulberry,FL,33860-7636,Public,18 Holes,(863) 425-3818,-81.97418,27.919578,Imperial Lakes Golf Course,161.01564045581824,121.78971105116119,161.01564045581824
Audubon Country Club,625 Audubon Blvd,Naples,FL,34110-7939,Private,18 Holes,(239) 566-9800,-81.814405,26.31286,Capri Isles Golf Club,335.91744334392996,105790.21754552267,NA
Bay Colony Golf Club,9740 Bentgrass Bnd,Naples,FL,34108-1933,Private,18 Holes,(239) 592-9530,-81.794294,26.264854,Capri Isles Golf Club,335.91744334392996,111351.11653128725,NA
Bear's Paw Country Club,2500 Golden Gate Pkwy,Naples,FL,34105-3299,Private,18 Holes,(239) 262-1836,-81.774897,26.173515,Belle Glade Club Golf Course,53.82269909783169,120756.6000689079,NA
Bonita Bay East,3700 Wildwood Blvd,Naples,FL,34120-1398,Private,36 Holes,(239) 353-5100,-81.652944,26.281741,Belle Glade Club Golf Course,53.82269909783169,104360.57142190309,NA
Classics Country Club At Lely Resort,7989 Grand Lely Dr,Naples,FL,34113-1620,Private,18 Holes,(239) 732-1220,-81.697013,26.089398,Belle Glade Club Golf Course,53.82269909783169,119151.30054708394,NA
Collier's Reserve Country Club,11711 Colliers Reserve Dr,Naples,FL,11711,Private,18 Holes,(239) 597-7029,-81.79169,26.281161,Capri Isles Golf Club,335.91744334392996,109979.07877022424,NA
Country Club of Naples,185 Burning Tree Dr,Naples,FL,34105-6308,Private,18 Holes,(239) 261-1267,-81.786076,26.20362,Capri Isles Golf Club,335.91744334392996,117545.28732880054,NA
Countryside Golf & Country Club,600 Countryside Dr,Naples,FL,34104-6711,Private,18 Holes,(239) 455-0001,-81.725209,26.141733,Belle Glade Club Golf Course,53.82269909783169,118288.33417704422,NA
Eagle Creek Golf & Country Club,11 Cypress View Dr,Naples,FL,34113-8014,Private,18 Holes,(239) 774-2202,-81.705865,26.058605,Belle Glade Club Golf Course,53.82269909783169,121862.1577343269,NA
Forest Glen Golf & Country Club,3855 Forest Glen Blvd,Naples,FL,34114-2516,Private,18 Holes,(239) 348-1332,-81.680644,26.145888,Belle Glade Club Golf Course,53.82269909783169,114285.60809901055,NA
Glen Eagle Golf & Country Club,1403 Glen Eagle Blvd,Naples,FL,34104-8749,Private,18 Holes,(239) 354-3167,-81.731844,26.141377,Belle Glade Club Golf Course,53.82269909783169,118871.70391212509,NA
Golf Club of the Everglades,8835 Vanderbilt Beach Rd,Naples,FL,34120-1653,Private,18 Holes,(239) 354-4727,-81.663416,26.244175,Belle Glade Club Golf Course,53.82269909783169,107222.6166122261,NA
Grey Oaks Country Club,2400 Grey Oaks Dr N,Naples,FL,34105-3000,Private,54 Holes,(239) 262-5550,-81.758807,26.19241,Belle Glade Club Golf Course,53.82269909783169,118332.98077695651,NA
Imperial Golf Club Inc,1808 Imperial Golf Course Blvd,Naples,FL,34110-1010,Private,36 Holes,(239) 597-7186,-81.778531,26.294252,Capri Isles Golf Club,335.91744334392996,109510.95313368962,NA
Kensington Golf & Country Club,2700 Pine Ridge Rd,Naples,FL,34109-5994,Private,18 Holes,(239) 649-0071,-81.763748,26.21143,Belle Glade Club Golf Course,53.82269909783169,117765.20079036262,NA
Lakewood Country Club,4235 Lakewood Blvd,Naples,FL,34112-6119,Private,18 Holes,(239) 775-0765,-81.752805,26.120437,Belle Glade Club Golf Course,53.82269909783169,121880.25006711947,NA
Naples Heritage,8150 Heritage Club Way,Naples,FL,34112-7703,Private,18 Holes,(239) 417-9990,-81.705136,26.137748,Belle Glade Club Golf Course,53.82269909783169,116831.20865101513,NA
Naples National Golf Club,9325 Collier Blvd,Naples,FL,34114-2543,Private,18 Holes,(239) 775-8911,-81.687124,26.133493,Belle Glade Club Golf Course,53.82269909783169,115580.29139852998,NA
Olde Florida Golf Club,9393 Vanderbilt Beach Rd,Naples,FL,34120-1715,Private,18 Holes,(239) 353-7667,-81.651703,26.244609,Belle Glade Club Golf Course,53.82269909783169,106174.13712192129,NA
Pelican Marsh Golf Club,1800 Persimmon Dr,Naples,FL,34109-0308,Private,18 Holes,(239) 597-1858,-81.78335,26.253106,Capri Isles Golf Club,335.91744334392996,113041.3614796311,NA
Quail Creek Country Club Inc,13300 Valewood Dr,Naples,FL,13300,Private,36 Holes,(239) 597-2900,-81.730594,26.295941,Belle Glade Club Golf Course,53.82269909783169,110669.93887573764,NA
Quail Run Golf Club In Naples,1 Forest Lakes Blvd,Naples,FL,34105-2352,Private,18 Holes,(239) 261-3930,-81.779656,26.2104,Capri Isles Golf Club,335.91744334392996,117241.77518511,NA
Quail Village Golf Course,11719 Quail Village Way,Naples,FL,11719,Private,27 Holes,(239) 598-9922,-81.73043,26.28576,Belle Glade Club Golf Course,53.82269909783169,111124.75335514481,NA
Quail West Golf & Country Club,5950 Burnham Rd,Naples,FL,34119-8400,Private,36 Holes,(239) 593-4100,-81.73436,26.316685,Capri Isles Golf Club,335.91744334392996,110076.60360627835,NA
Royal Palm Country Club,405 Forest Hills Blvd,Naples,FL,34113-7555,Private,18 Holes,(239) 775-1150,-81.728638,26.099975,Belle Glade Club Golf Course,53.82269909783169,121093.98561314603,NA
Royal Poinciana Golf Club Inc,4000 Goodlette Rd N,Naples,FL,34103-3329,Private,36 Holes,(239) 261-2558,-81.79171,26.194847,Capri Isles Golf Club,335.91744334392996,118086.53113635222,NA
Stonebridge Country Club,2100 Winding Oaks Way,Naples,FL,34109-1423,Private,18 Holes,(239) 592-5252,-81.77518,26.268023,Capri Isles Golf Club,335.91744334392996,112108.7954055861,NA
The Club At Mediterra,15755 Corso Mediterra Cir,Naples,FL,15755,Private,36 Holes,(877) 949-8989,-81.769568,26.310725,Capri Isles Golf Club,335.91744334392996,108526.47290646005,NA
The Club at Pelican Bay,707 Gulf Park Dr,Naples,FL,34108-8202,Private,45 Holes,(239) 597-2105,-81.806949,26.227909,Capri Isles Golf Club,335.91744334392996,114154.69425616217,NA
The Club At Strand,5840 Strand Blvd,Naples,FL,34110-1397,Private,36 Holes,(239) 592-9944,-81.747861,26.292558,Capri Isles Golf Club,335.91744334392996,111429.90531462568,NA
The Glades Country Club,210 Teryl Rd,Naples,FL,34112-6035,Private,36 Holes,(239) 774-1443,-81.756419,26.12646,Belle Glade Club Golf Course,53.82269909783169,121830.82453995955,NA
The Moorings Country Club,2500 Crayton Rd,Naples,FL,34103-4020,Private,18 Holes,(239) 261-1033,-81.806057,26.176929,Capri Isles Golf Club,335.91744334392996,119075.22078259531,NA
The Rookery At Marco Island,3433 Club Center Blvd,Naples,FL,34114-0817,Private,18 Holes,(239) 389-6600,-81.679086,26.023858,Belle Glade Club Golf Course,53.82269909783169,122067.52244433467,NA
Tuscany Reserve,16475 Tuscany Reserve Dr,Naples,FL,16475,Private,18 Holes,(239) 514-1051,-81.761163,26.315334,Capri Isles Golf Club,335.91744334392996,108601.49303939406,NA
Wilderness Country Club,101 Clubhouse Dr,Naples,FL,34105-2936,Private,18 Holes,(239) 261-5505,-81.789034,26.179817,Capri Isles Golf Club,335.91744334392996,119657.44221464804,NA
Windstar on Naples Bay,1700 Windstar Blvd,Naples,FL,34112-4200,Private,18 Holes,(239) 775-3500,-81.78127,26.115072,Belle Glade Club Golf Course,53.82269909783169,124606.71347241562,NA
Wyndemere Country Club,700 Wyndemere Way,Naples,FL,34105-7119,Private,36 Holes,(239) 263-1700,-81.743336,26.189222,Belle Glade Club Golf Course,53.82269909783169,117155.40485457052,NA
Bentley Village Golf Course,2250 Golfside Dr,Naples,FL,34110-8019,Semi Private,18 Holes,(239) 513-1125,-81.811664,26.305975,Capri Isles Golf Club,335.91744334392996,106578.8962571279,NA
Calusa Pines Golf Club,2250 Ridge Rd,Naples,FL,34120-3910,Semi Private,18 Holes,(239) 348-2220,-81.669244,26.267666,Belle Glade Club Golf Course,53.82269909783169,106518.36277681103,NA
Foxfire Country Club,1030 Kings Way,Naples,FL,34104-4988,Semi Private,27 Holes,(239) 643-2402,-81.743355,26.144964,Belle Glade Club Golf Course,53.82269909783169,119641.84072018265,NA
Hammock Bay,1370 Borghese Ln,Naples,FL,34114-7842,Semi Private,18 Holes,(239) 394-4811,-81.693453,25.998999,Belle Glade Club Golf Course,53.82269909783169,124914.08470209669,NA
Hideout Golf Club LTD,3025 Brantley Blvd,Naples,FL,34117-4012,Semi Private,18 Holes,(239) 352-4444,-81.664376,26.184928,Belle Glade Club Golf Course,53.82269909783169,110598.7893115155,NA
Hole in the Wall Golf Course,3550 Goodlette Road,Naples,FL,34104,Semi Private,18 Holes,(239) 261-0756,-81.791446,26.186298,Capri Isles Golf Club,335.91744334392996,118915.22157580924,NA
LaPlaya Golf Club,333 Palm River Blvd,Naples,FL,34110-3101,Semi Private,18 Holes,(239) 254-5001,-81.777975,26.28036,Capri Isles Golf Club,335.91744334392996,110816.39474915306,NA
Naples Grande Golf Club,7760 Golden Gate Pkwy,Naples,FL,34105-3054,Semi Private,18 Holes,(239) 659-3700,-81.758424,26.174203,Belle Glade Club Golf Course,53.82269909783169,119287.77756442416,NA
Naples Lakes Country Club,4784 Inverness Club Dr,Naples,FL,34112-2970,Semi Private,18 Holes,(239) 732-1011,-81.691752,26.115699,Belle Glade Club Golf Course,53.82269909783169,117061.40529882022,NA
Royal Wood Golf & Country Club,4300 Royal Wood Blvd,Naples,FL,34112-8824,Semi Private,18 Holes,(239) 774-2213,-81.718752,26.112659,Belle Glade Club Golf Course,53.82269909783169,119491.57981720478,NA
Silver Lakes Resort & Golf Club,1001 Silver Lakes Blvd,Naples,FL,34114-9334,Semi Private,18 Holes,(800) 843-2836,-81.699262,26.037219,Belle Glade Club Golf Course,53.82269909783169,122752.27586473362,NA
The Club At Olde Cypress,7165 Treeline Dr,Naples,FL,34119-6787,Semi Private,18 Holes,(888) 846-5040,-81.720576,26.276962,Belle Glade Club Golf Course,53.82269909783169,110650.38634935782,NA
The Club At TwinEagles,11725 Twineagles Blvd,Naples,FL,11725,Semi Private,36 Holes,(239) 352-2121,-81.628396,26.289607,Belle Glade Club Golf Course,53.82269909783169,101781.88698659353,NA
The Golf Lodge At the Quarry,8950 Weathered Stone Dr,Naples,FL,34120-4380,Semi Private,18 Holes,(800) 519-9040,-81.676919,26.278865,Belle Glade Club Golf Course,53.82269909783169,106641.96544126782,NA
The Old Collier Golf Club,790 Main House Dr,Naples,FL,34110-1513,Semi Private,18 Holes,(239) 597-9898,-81.804733,26.279245,Capri Isles Golf Club,335.91744334392996,109442.17432935761,NA
TPC At Treviso Bay,9800 Treviso Bay Blvd,Naples,FL,34113-8060,Semi Private,18 Holes,(877) 643-1476,-81.734406,26.071592,Belle Glade Club Golf Course,53.82269909783169,123346.92259981368,NA
Vanderbilt Country Club,8250 Danbury Blvd,Naples,FL,34120-1631,Semi Private,18 Holes,(239) 348-2663,-81.676316,26.248623,Belle Glade Club Golf Course,53.82269909783169,108122.41404513497,NA
Vineyards Country Club,400 Vineyards Blvd,Naples,FL,34119-4701,Semi Private,36 Holes,(239) 353-0505,-81.734733,26.228828,Belle Glade Club Golf Course,53.82269909783169,114303.47420378652,NA
Arrowhead Golf Course At Heritage Greens,2205 Heritage Greens Dr,Naples,FL,34119-3311,Public,18 Holes,(239) 596-1000,-81.711422,26.265659,Belle Glade Club Golf Course,53.82269909783169,110376.78635586401,NA
Cedar Hammock Golf & Country Club,8660 Cedar Hammock Blvd,Naples,FL,34112-3300,Public,18 Holes,(239) 793-1134,-81.697458,26.147226,Belle Glade Club Golf Course,53.82269909783169,115618.3796832825,NA
Cypress Woods Golf & Country Club,3525 Northbrooke Dr,Naples,FL,34119-7920,Public,18 Holes,(239) 592-7860,-81.740204,26.29388,Belle Glade Club Golf Course,53.82269909783169,111637.70857917888,NA
Eagles Lakes Golf Club,18100 Royal Tree Pkwy,Naples,FL,18100,Public,18 Holes,(239) 732-0034,-81.629122,26.012066,Belle Glade Club Golf Course,53.82269909783169,119032.74551177818,NA
Golden Gate Country Club,4100 Golden Gate Pkwy,Naples,FL,34116-6522,Public,18 Holes,(800) 277-0017,-81.68904,26.184219,Belle Glade Club Golf Course,53.82269909783169,112745.49842768197,NA
Heritage Bay Golf Course,10160 Heritage Bay Blvd,Naples,FL,10160,Public,54 Holes,(239) 353-2561,-81.662547,26.284869,Belle Glade Club Golf Course,53.82269909783169,105061.61762421054,NA
Hibiscus Golf Club,5375 Hibiscus Dr,Naples,FL,34113-7719,Public,18 Holes,(239) 774-3559,-81.704323,26.061413,Belle Glade Club Golf Course,53.82269909783169,121553.82068192158,NA
High Point Country Club,1100 High Point Dr,Naples,FL,34103-4248,Public,9 Holes,(239) 261-4442,-81.797894,26.185845,Capri Isles Golf Club,335.91744334392996,118629.91813780808,NA
Lely Resort,8004 Lely Resort Blvd,Naples,FL,34113-2602,Public,36 Holes,(239) 793-2600,-81.70174,26.085549,Belle Glade Club Golf Course,53.82269909783169,119783.54488376867,NA
Naples Beach Hotel & Golf Club,851 Gulf Shore Blvd N,Naples,FL,34102-5332,Public,18 Holes,(800) 237-7600,-81.808377,26.156697,Capri Isles Golf Club,335.91744334392996,120915.03799326751,NA
Riviera Golf Club,48 Marseille Dr,Naples,FL,34112-7157,Public,18 Holes,(239) 774-1081,-81.732272,26.119969,Belle Glade Club Golf Course,53.82269909783169,120178.88989391793,NA
The Golf Club At Fiddler's Creek,3470 Club Center Blvd,Naples,FL,34114-0816,Public,18 Holes,(239) 732-3030,-81.678918,26.023268,Belle Glade Club Golf Course,53.82269909783169,122095.02636701615,NA
The Links of Naples,16161 Tamiami Trl E,Naples,FL,16161,Public,18 Holes,(239) 417-1313,-81.634264,26.021969,Belle Glade Club Golf Course,53.82269909783169,118718.89955114071,NA
Tiburon Golf Club,2620 Tiburon Dr,Naples,FL,34109-3500,Public,36 Holes,(239) 594-2040,-81.76644,26.247105,Capri Isles Golf Club,335.91744334392996,114526.57602648457,NA
Valencia Golf & Country Club,1725 Double Eagle Trl,Naples,FL,34120-0436,Public,18 Holes,(239) 352-0777,-81.577702,26.282756,Belle Glade Club Golf Course,53.82269909783169,97664.6040076948,NA
The Club At Hidden Creek,3070 Pga Blvd,Navarre,FL,32566-8858,Public,18 Holes,(850) 939-4604,-86.924117,30.438002,Jack Gaither Golf Course,118.56144952303664,251791.91422044972,NA
Heritage Springs Country Club,11345 Robert Trent Jones Pkwy,New Port Richey,FL,11345,Semi Private,18 Holes,(727) 372-5281,-82.626872,28.179091,Rocky Point Golf Course,170.06570449609933,22932.19939230951,NA
Gulf Harbors Golf Course,3720 Floramar Ter,New Port Richey,FL,34652-3100,Public,18 Holes,(727) 849-7675,-82.752442,28.235093,Rocky Point Golf Course,170.06570449609933,33972.30342075107,NA
Magnolia Valley Golf Club,7223 Massachusetts Ave,New Port Richey,FL,34653-2935,Public,27 Holes,(727) 847-2342,-82.695358,28.258907,Rocky Point Golf Course,170.06570449609933,33598.49713966941,NA
River Ridge Golf Club,11022 Tee Time Cir,New Port Richey,FL,11022,Public,18 Holes,(727) 847-4762,-82.632393,28.269401,Rocky Point Golf Course,170.06570449609933,32784.039701037305,NA
Seven Springs Golf & Country Club,3535 Trophy Blvd,New Port Richey,FL,34655-1965,Public,36 Holes,(727) 376-0035,-82.658124,28.210625,Rocky Point Golf Course,170.06570449609933,27246.57920752678,NA
Summertree Golf Course,11816 Paradise Point Way,New Port Richey,FL,11816,Public,9 Holes,(727) 856-0771,-82.626286,28.329495,St Leo Golf Course,86.72486014424256,35552.69155659568,NA
Timber Greens Country Club,6333 Timber Greens Blvd,New Port Richey,FL,34655-1191,Public,18 Holes,(727) 372-0789,-82.6577,28.25067,Rocky Point Golf Course,170.06570449609933,31431.587818350574,NA
New Smyrna Beach Municipal Golf Course,1000 Wayne Ave,New Smyrna Beach,FL,32168-6129,Municipal,18 Holes,(386) 424-2191,-80.942231,29.029287,Deltona Golf and Country Club,189.78509515969742,30437.724394458437,NA
Sugar Mill Country Club,150 Club House Cir,New Smyrna Beach,FL,32168-7967,Private,27 Holes,(800) 870-5552,-80.98398,29.043679,Deltona Golf and Country Club,189.78509515969742,27424.407485329153,NA
Venetian Bay Golf Course,63 N Airport Rd,New Smyrna Beach,FL,32168-5394,Semi Private,18 Holes,(386) 424-5775,-81.035039,29.040297,Deltona Golf and Country Club,189.78509515969742,22953.725088158197,NA
Hidden Lakes Golf Club,35 Fairgreen Ave,New Smyrna Beach,FL,32168-6198,Public,18 Holes,(386) 427-4138,-80.945165,29.03759,Deltona Golf and Country Club,189.78509515969742,30529.940601339382,NA
Turnbull Bay Golf Course,2600 Turnbull Estates Dr,New Smyrna Beach,FL,32168-5454,Public,18 Holes,(386) 427-8727,-80.96944,29.05681,Deltona Golf and Country Club,189.78509515969742,29364.657261535252,NA
West End Golf Course,12830 W Newberry Rd,Newberry,FL,12830,Public,18 Holes,(352) 332-2721,-82.47922,29.657792,Hyde Park Golf Club,141.26079974397,98784.09531506387,NA
Rocky Bayou Country Club,600 Golf Course Dr,Niceville,FL,32578-1795,Private,18 Holes,(850) 678-3271,-86.443171,30.52726,Jack Gaither Golf Course,118.56144952303664,206012.02121833563,NA
Bluewater Bay Resort,2000 Bluewater Blvd,Niceville,FL,32578-3856,Public,36 Holes,(800) 874-2128,-86.432565,30.482965,Jack Gaither Golf Course,118.56144952303664,204776.24646642158,NA
Eglin Golf Course,1527 Fairway Dr,Niceville,FL,32578-6901,Public,36 Holes,(850) 678-8726,-86.491455,30.527619,Jack Gaither Golf Course,118.56144952303664,210631.76522726016,NA
Mission Valley Country Club,1851 Mission Valley Blvd,Nokomis,FL,34275-1695,Private,18 Holes,(941) 488-7747,-82.44531,27.153679,Capri Isles Golf Club,335.91744334392996,4668.710477085924,NA
Calusa Lakes Golf Club,1995 Calusa Lakes Blvd,Nokomis,FL,34275-5321,Public,18 Holes,(941) 484-8995,-82.443518,27.162266,Capri Isles Golf Club,335.91744334392996,5305.603641065318,NA
Sorrento Par 3,1910 Bayshore Rd,Nokomis,FL,34275-1418,Public,9 Holes,(941) 966-4884,-82.469615,27.151349,Capri Isles Golf Club,335.91744334392996,6414.7190923203,NA
Riverbend Golf Course,6270 River Club Ct,North Fort Myers,FL,33917-3256,Public,18 Holes,(239) 543-2200,-81.85352,26.682627,Capri Isles Golf Club,335.91744334392996,72136.83479103024,NA
Greynolds Park Golf Course,17530 W Dixie Hwy,North Miami Beach,FL,17530,Municipal,18 Holes,(305) 949-1741,-80.150865,25.937765,Hollywood Lakes Country Club,174.9995068543443,20410.63382508946,NA
Presidential Country Club,19650 Presidential Way,North Miami Beach,FL,19650,Public,18 Holes,(305) 935-7500,-80.168638,25.957292,Hollywood Lakes Country Club,174.9995068543443,18123.026242314034,NA
North Palm Beach Country Club,951 US Highway 1,North Palm Beach,FL,33408-3813,Municipal,18 Holes,(561) 691-3433,-80.06129,26.827642,North Palm Beach Country Club,152.59525433540796,0,152.59525433540796
Lost Tree Club,11520 Lost Tree Way,North Palm Beach,FL,11520,Private,18 Holes,(561) 626-1400,-80.052608,26.844615,North Palm Beach Country Club,152.59525433540796,1682.104305414196,NA
Bobcat Trail Golf Club,1350 Bobcat Trl,North Port,FL,34288-8606,Public,18 Holes,(941) 429-0500,-82.150071,27.04806,Capri Isles Golf Club,335.91744334392996,26187.97269971019,NA
Heron Creek Golf & Country Club,5301 Heron Creek Blvd,North Port,FL,34287-2342,Public,54 Holes,(800) 877-1433,-82.220414,27.059818,Capri Isles Golf Club,335.91744334392996,19119.971174550057,NA
Sabal Trace Golf & Country Club,5456 Greenwood Ave,North Port,FL,34287-3107,Public,18 Holes,(941) 426-4883,-82.225117,27.042648,Capri Isles Golf Club,335.91744334392996,19262.581303395425,NA
Venetian Golf and River Club,103 Pesaro Dr,North Venice,FL,34275-6627,Private,18 Holes,(941) 483-4811,-82.379187,27.13998,Capri Isles Golf Club,335.91744334392996,3342.266746835867,NA
Pine Oaks Golf Course,2201 NW 21st St,Ocala,FL,34475-4840,Municipal,45 Holes,(352) 401-6941,-82.161495,29.208207,Southridge Golf Course,117.25668004241028,87130.1477935772,NA
The Golf Club of Ocala,3130 E Silver Springs Blvd,Ocala,FL,34470-6412,Municipal,18 Holes,(352) 401-6917,-82.093614,29.192678,Southridge Golf Course,117.25668004241028,80320.03965031664,NA
Country Club of Ocala,6823 SE 12th Cir,Ocala,FL,34480-6656,Semi Private,18 Holes,(352) 237-6644,-82.118919,29.110911,Southridge Golf Course,117.25668004241028,81124.18317826375,NA
Golden Ocala Golf and Country Club,8300 NW 31st Lane Rd,Ocala,FL,34482-3803,Semi Private,18 Holes,(800) 251-7674,-82.257324,29.218811,Southridge Golf Course,117.25668004241028,96452.55570479439,NA
On Top of the World Golf Course,9050 SW 99th Street Rd,Ocala,FL,34481-4547,Semi Private,36 Holes,(352) 854-8430,-82.271156,29.08182,St Leo Golf Course,86.72486014424256,82994.2694674053,NA
Baseline Golf Course,9000 SE 58th Ave,Ocala,FL,34480-8246,Public,18 Holes,(352) 245-4414,-82.053692,29.091359,Southridge Golf Course,117.25668004241028,74584.31798853165,NA
Candler Hills Golf and Country Club,8139 SW 90th Terrace Rd,Ocala,FL,34481-5597,Public,18 Holes,(352) 861-9712,-82.260524,29.103447,St Leo Golf Course,86.72486014424256,85390.74036448661,NA
Country Club At Silver Springs Shores,633 Silver Rd,Ocala,FL,34472-2704,Public,18 Holes,(352) 687-2828,-82.000306,29.103767,Southridge Golf Course,117.25668004241028,69591.54778099211,NA
Golden Hills Golf & Turf Club,4782 NW 80th Ave,Ocala,FL,34482-2032,Public,18 Holes,(352) 629-7980,-82.251293,29.236397,Southridge Golf Course,117.25668004241028,96342.45761794789,NA
Huntington Golf Club,799 Marion Oaks Mnr,Ocala,FL,34473-5409,Public,18 Holes,(352) 347-3333,-82.231606,29.011605,St Leo Golf Course,86.72486014424256,75210.89013076143,NA
Lake Diamond Golf & Country Club,16 Golf View Dr,Ocala,FL,34472-5000,Public,18 Holes,(888) 907-5253,-82.015992,29.12754,Southridge Golf Course,117.25668004241028,71486.13146888466,NA
Marion Oaks Country Club,430 Marion Oaks Golf Way,Ocala,FL,34473-3521,Public,18 Holes,(352) 347-1271,-82.192446,28.985781,St Leo Golf Course,86.72486014424256,72537.9413987075,NA
Oak Run Country Club,8900 SW 110th Street,Ocala,FL,34481,Public,18 Holes,(352) 854-0126,-82.268573,29.059132,St Leo Golf Course,86.72486014424256,80468.42319303118,NA
Ocala Palms Golf & Country Club,5174 NW 26th St,Ocala,FL,34482-3250,Public,18 Holes,(352) 732-4653,-82.205552,29.212516,Southridge Golf Course,117.25668004241028,91400.30387083671,NA
Rolling Greens Executive Course,1415 W Gleneagles Rd,Ocala,FL,34472-7909,Public,18 Holes,(352) 624-0511,-82.036665,29.172989,Southridge Golf Course,117.25668004241028,74436.40582368364,NA
Royal Oaks Golf Club,11220 SW 69th Cir,Ocala,FL,11220,Public,18 Holes,(352) 861-1818,-82.233914,29.059624,St Leo Golf Course,86.72486014424256,80544.05361167784,NA
Stone Creek Golf Club,9676 SW 62nd Loop,Ocala,FL,34481-7224,Public,27 Holes,(877) 333-5932,-82.270665,29.123626,St Leo Golf Course,86.72486014424256,87641.804359165,NA
