course_name,city,state,street_address,zip_code,final_acreage,acreage_source,longitude,latitude
Apple Mountain Golf Resort,Camino,CA,3455 Carson Rd,95709-9595,,No Match Found,-120.702669,38.739572
Camino Heights Golf Course,Camino,CA,3020 Vista Tierra Dr,95709-9303,,No Match Found,-120.710394,38.735423
Marine Memorial Golf Course,Camp Pendleton,CA,Golf Course Road  Bldg 18415,18415,206.5694758,OSM (Medium Reliability),-117.328267,33.26824
Robinson Ranch,Canyon Country,CA,27734 Sand Canyon Rd,27734,282.4691894,OSM (Medium Reliability),-118.420037,34.411823
Canyon Lake Country Club,Canyon Lake,CA,32001 Railroad Canyon Rd,32001,98.03253083,Tigris (High Reliability),-117.259461,33.673506
The Crossings at Carlsbad,Carlsbad,CA,5800 The Crossings Dr,92008-4717,267.1506689,OSM (Medium Reliability),-117.308598,33.126198
La Costa Resort & Spa,Carlsbad,CA,2100 Costa del Mar Rd,92009-6823,215.8607968,Tigris (High Reliability),-117.265783,33.092411
Four Seasons Resort Aviara,Carlsbad,CA,7447 Batiquitos Dr,92011-4732,101.4875194,Tigris (High Reliability),-117.286309,33.093277
Rancho Carlsbad Golf Club,Carlsbad,CA,5200 El Camino Real,92010-7118,30.98254604,Tigris (High Reliability),-117.289256,33.146683
The Preserve Golf Club,Carmel,CA,19 Pronghorn Run,93923-7711,69.89502018,OSM (Medium Reliability),-121.793789,36.450183
Tehama Golf Club,Carmel,CA,25000 Via Malpaso,25000,147.3423,OSM (Medium Reliability),-121.832609,36.562927
Carmel Valley Ranch Golf Course,Carmel,CA,1 Old Ranch Rd,93923-8551,237.2889069,Tigris (High Reliability),-121.796797,36.514253
Quail Lodge Golf Club,Carmel,CA,8000 Valley Greens Dr,93923-9515,78.36531304,Tigris (High Reliability),-121.862141,36.531411
Rancho Canada Golf Club,Carmel,CA,4860 Carmel Valley Rd,93923,34.58504016,Tigris (High Reliability),-121.892167,36.542654
Ancil Hoffman Golf Course,Carmichael,CA,6700 Tarshes Dr,95608-5325,148.1281734,OSM (Medium Reliability),-121.309188,38.610649
The Links At Victoria Park,Carson,CA,340 E 192nd St,90746-2207,188.4209527,Tigris (High Reliability),-118.271328,33.856677
Dominguez Hills Golf Course,Carson,CA,19800 Main St,19800,72.59781101,Tigris (High Reliability),-118.280251,33.850579
Willow Park Golf Course,Castro Valley,CA,17007 Redwood Rd,17007,102.6933465,OSM (Medium Reliability),-122.07979,37.724454
Outdoor Resorts/Palm Springs,Cathedral City,CA,69411 Ramon Rd,69411,40.2796792,OSM (Medium Reliability),-116.44774,33.815756
Cathedral Canyon Golf & Tennis Club,Cathedral City,CA,68311 Paseo Real,68311,,No Match Found,-116.463869,33.808488
Cimarron Golf Resort,Cathedral City,CA,67603 30th Ave,67603,7.047584021,OSM (Medium Reliability),-116.480971,33.830267
Date Palm Country Club,Cathedral City,CA,36200 Date Palm Dr,36200,76.51114906,OSM (Medium Reliability),-116.457898,33.785353
Desert Princess Country Club,Cathedral City,CA,28555 Landau Blvd,28555,10.82581935,OSM (Medium Reliability),-116.475971,33.840336
River Oaks Golf Course,Ceres,CA,3441 Golf Links Rd,95307-9481,53.30541094,OSM (Medium Reliability),-120.932103,37.609954
Cerritos Iron Wood Nine,Cerritos,CA,16449 Piuma Ave,16449,28.74756376,Tigris (High Reliability),-118.104757,33.882809
Highland Springs Village Golf Course,Cherry Valley,CA,10370 1/2 Chisholm Trl,10370,7.03715733,OSM (Medium Reliability),-116.943324,33.972314
Lake Almanor West Golf Course,Chester,CA,111 Slim Dr,96020-9734,62.99852092,OSM (Medium Reliability),-121.214148,40.244403
Bidwell Park Golf Course,Chico,CA,3199 Golf Course Rd,95973-9149,85.92201354,OSM (Medium Reliability),-121.77866,39.768254
Canyon Oaks Country Club,Chico,CA,999 Yosemite Dr,95928-3948,155.1213939,OSM (Medium Reliability),-121.785352,39.756502
Butte Creek Country Club,Chico,CA,175 Estates Dr,95928-7415,169.8152068,OSM (Medium Reliability),-121.775634,39.683871
Sunset Hills Golf & Country Club,Chico,CA,13301 Garner Ln,13301,,No Match Found,-121.891731,39.786765
Western Hills Golf & Country Club,Chino Hills,CA,1800 Carbon Canyon Rd,91709-2300,110.4413385,OSM (Medium Reliability),-117.764872,33.960888
Vellano Country Club,Chino Hills,CA,2441 Vellano Club Dr,91709-6630,98.62184855,OSM (Medium Reliability),-117.751655,33.953463
Los Serranos Country Club,Chino Hills,CA,15656 Yorba Ave,15656,342.4372703,Tigris (High Reliability),-117.700299,33.969183
El Prado Golf Course,Chino,CA,6555 Pine Ave,91710-9163,393.7782348,Tigris (High Reliability),-117.662924,33.949768
Pheasant Run Golf Course,Chowchilla,CA,19 Clubhouse Drive,93610,235.9257884,OSM (Medium Reliability),-120.229741,37.124212
San Diego Country Club,Chula Vista,CA,88 L St,91911-1440,152.4928629,Tigris (High Reliability),-117.062201,32.623277
Eastlake Country Club,Chula Vista,CA,2375 Clubhouse Dr,91915-1213,319.6268525,Tigris (High Reliability),-116.958181,32.639487
The Auld Course,Chula Vista,CA,525 Hunte Pkwy,91914-4137,,No Match Found,-116.95558,32.664838
Sunrise Golf Course,Citrus Heights,CA,6412 Sunrise Blvd,95610-5906,,No Match Found,-121.271404,38.682615
Industry Hills At Pacific Palms Conference Resort,City of Industry,CA,1 Industry Hills Pkwy,91744-5160,213.5409886,OSM (Medium Reliability),-117.926671,34.020262
Claremont Golf Course,Claremont,CA,1550 N Indian Hill Blvd,91711-2718,20.95836412,Tigris (High Reliability),-117.720171,34.111995
Oakhurst Country Club,Clayton,CA,1001 Peacock Creek Dr,94517-2201,169.2417143,OSM (Medium Reliability),-121.926638,37.939831
Dragon At Gold Mountain,Clio,CA,348 Bear Run,96106,,No Match Found,-120.582232,39.743928
Whitehawk Ranch Golf Club,Clio,CA,768 Whitehawk Dr,96106,225.561784,OSM (Medium Reliability),-120.537549,39.718999
The Vineyards,Coachella,CA,44790 Dillon Rd,44790,,No Match Found,-116.164001,33.725753
Yosemite Lakes Park Golf Course,Coarsegold,CA,42515 Artesian Ct,42515,51.9471352,Tigris (High Reliability),-119.77108,37.197071
Rob Roy Golf Club,Cobb,CA,16451 Golf Road,16451,38.1497865,Tigris (High Reliability),-122.715807,38.821944
Colton Golf Club,Colton,CA,1901 W Valley Blvd,92324-1811,52.67002215,Tigris (High Reliability),-117.358651,34.070692
Colusa Golf & Country Club,Colusa,CA,2224 Highway 20,95932-3242,65.03133529,OSM (Medium Reliability),-122.000078,39.194809
Compton Par 3 Golf Course,Compton,CA,6400 E Compton Blvd,90221-3116,12.68184986,OSM (Medium Reliability),-118.185267,33.896174
Diablo Creek Golf Course,Concord,CA,4050 Port Chicago Hwy,94520-1121,195.1359222,Tigris (High Reliability),-122.023703,38.012363
Buchanan Fields Golf Course,Concord,CA,1091 Concord Ave,94520-5603,30.37937148,Tigris (High Reliability),-122.059244,37.979131
Auburn Lake Trails Golf Course,Cool,CA,1400 American River Trl,95614-2149,,No Match Found,-121.001484,38.891785
Saddle Creek Golf Club,Copperopolis,CA,1001 Saddle Creek Dr,95228-9493,,No Match Found,-120.635754,37.918949
Sevillano Links,Corning,CA,2657 Barham Ave,96021-9000,,No Match Found,-122.202604,39.913505
Cresta Verde Golf Club,Corona,CA,1295 Cresta Rd,92879-1132,42.22382354,Tigris (High Reliability),-117.546905,33.884163
Dos Lagos Golf Club,Corona,CA,4507 Cabot Dr,92883-4620,147.7120209,OSM (Medium Reliability),-117.503893,33.813307
Eagle Glen Golf Course,Corona,CA,1800 Eagle Glen Pkwy,92883-0620,220.0286959,OSM (Medium Reliability),-117.536363,33.808398
Green River Golf Club,Corona,CA,5215 Green River Rd,92880-9404,23.69924555,Tigris (High Reliability),-117.669321,33.871004
Mountain View Golf Course,Corona,CA,2121 Mountain View Dr,92882-8615,,No Match Found,-117.610711,33.87675
Champions Club At The Retreat,Corona,CA,8007 Soft Winds Dr,92883,48.45930363,OSM (Medium Reliability),-117.521307,33.798227
Trilogy Golf Club At Glen Ivy,Corona,CA,24400 Trilogy Pkwy,24400,67.4919977,OSM (Medium Reliability),-117.504298,33.766475
Coronado Municipal Golf Course,Coronado,CA,2000 Visalia Row,92118-2315,142.123613,Tigris (High Reliability),-117.167659,32.684808
Costa Mesa Country Club,Costa Mesa,CA,1701 Golf Course Dr,92626-5049,274.7006692,Tigris (High Reliability),-117.927154,33.669099
Mesa Verde Country Club,Costa Mesa,CA,3000 Club House Rd,92626-3504,136.9504764,Tigris (High Reliability),-117.936043,33.677414
Coto De Caza Golf Course,Coto de Caza,CA,25291 Vista del Verde,25291,88.91715612,OSM (Medium Reliability),-117.593289,33.47002
Del Norte Golf Club,Crescent City,CA,130 Club Dr,95531-9507,87.5377293,OSM (Medium Reliability),-124.102347,41.830448
Kings Valley Golf Course,Crescent City,CA,3030 Lesina Rd,95531-8547,,No Match Found,-124.139951,41.806208
Mount Huff Golf Course,Crescent Mills,CA,15301 Highway 89,15301,46.12124822,OSM (Medium Reliability),-120.914365,40.090599
Blackberry Farm Golf Course,Cupertino,CA,22100 Stevens Creek Blvd,22100,14.49526762,OSM (Medium Reliability),-122.060054,37.322918
Deep Cliff Golf Course,Cupertino,CA,10700 Club House Ln,10700,50.11850972,OSM (Medium Reliability),-122.06556,37.312405
Navy Golf Course,Cypress,CA,5660 Orangewood Ave,90630-5550,,No Match Found,-118.032598,33.795508
Lake Merced Golf Club,Daly City,CA,2300 Junipero Serra Blvd,94015-1630,134.9157024,Tigris (High Reliability),-122.471133,37.694878
The Olympic Club,Daly City,CA,599 Skyline Dr,94015-4611,,No Match Found,-122.490645,37.679834
Blackhawk Country Club,Danville,CA,599 Blackhawk Club Dr,94506-4522,30.97704087,OSM (Medium Reliability),-121.916028,37.818743
Crow Canyon Country Club,Danville,CA,711 Silver Lake Dr,94526-6241,5.460850028,OSM (Medium Reliability),-121.962121,37.785145
Davis Municipal Golf Course,Davis,CA,24439 Fairway Dr,24439,88.56857537,OSM (Medium Reliability),-121.772126,38.583766
Wildhorse Golf Course,Davis,CA,2323 Rockwell Dr,95616-7635,146.3360685,OSM (Medium Reliability),-121.721623,38.568652
Furnace Creek Ranch,Death Valley,CA,Highway 190,92328,,No Match Found,-116.851251,36.449922
Delano Public Golf Course,Delano,CA,104 S Lexington St,93215,68.13063142,Tigris (High Reliability),-119.240593,35.756874
Lake Tamarisk Golf Course,Desert Center,CA,26251 Parkview Drive,26251,61.82511339,OSM (Medium Reliability),-115.391939,33.74066
Caliente Springs Golf Resort,Desert Hot Springs,CA,70200 Dillon Rd,70200,,No Match Found,-116.436937,33.929363
Desert Crest Country Club,Desert Hot Springs,CA,69400 Country Club Dr,69400,7.864541753,Tigris (High Reliability),-116.451321,33.929558
Desert Dunes Golf Course,Desert Hot Springs,CA,19300 Palm Dr,19300,181.5707011,Tigris (High Reliability),-116.501512,33.908892
Hidden Springs Country Club,Desert Hot Springs,CA,15500 Bubbling Wells Rd,15500,60.46208917,Tigris (High Reliability),-116.484311,33.932483
Mission Lakes Country Club,Desert Hot Springs,CA,8484 Clubhouse Blvd,92240-1100,142.4032081,OSM (Medium Reliability),-116.536375,33.986369
Sands RV Park,Desert Hot Springs,CA,16400 Bubbling Wells Rd,16400,36.64112299,Tigris (High Reliability),-116.484298,33.926107
Diablo Country Club,Diablo,CA,1700 Clubhouse Rd,94528,150.9959921,Tigris (High Reliability),-121.958615,37.836663
Diamond Bar Golf Course,Diamond Bar,CA,22751 Golden Springs Dr,22751,210.924019,Tigris (High Reliability),-117.819995,34.007766
Ridge Creek Golf Course,Dinuba,CA,3018 Ridge Creek Dr,93618-9172,231.9106927,OSM (Medium Reliability),-119.431427,36.541961
Discovery Bay Country Club,Discovery Bay,CA,1475 Clubhouse Dr,94514-9241,,No Match Found,-121.593697,37.894197
Dove Canyon Country Club,Dove Canyon,CA,22682 Golf Club Dr,22682,26.90121741,Tigris (High Reliability),-117.568243,33.634
Los Amigos Country Golf Course,Downey,CA,7295 Quill Dr,90242-2001,124.194157,Tigris (High Reliability),-118.160838,33.936769
Rio Hondo Golf Club,Downey,CA,10627 Old River School Rd,10627,106.9974395,Tigris (High Reliability),-118.144547,33.953599
Rancho Duarte Golf Course,Duarte,CA,1000 Las Lomas Rd,91010-2229,29.47441697,Tigris (High Reliability),-117.946855,34.139878
Dublin Ranch Golf Course,Dublin,CA,5900 Signal Hill Dr,94568-7795,238.8880419,OSM (Medium Reliability),-121.857165,37.725877
Campers Inn Golf Course,Dunnigan,CA,2501 County Road 88,95937,,No Match Found,-121.98954,38.902841
Muroc Lake Golf Course,Edwards Afb,CA,111 Crest Dr Bldg 5611,93524-0001,202.1395107,OSM (Medium Reliability),-117.938076,34.913959
Cottonwood Golf Club,El Cajon,CA,3121 Willow Glen Dr,92019-4604,273.7133303,OSM (Medium Reliability),-116.91134,32.748314
Sycuan Resort,El Cajon,CA,3007 Dehesa Rd,92019-2806,301.5618958,OSM (Medium Reliability),-116.884866,32.786443
Desert Trails Golf Course and Resort,El Centro,CA,225 Wake Ave,92243-9653,59.98585673,Tigris (High Reliability),-115.546965,32.77102
Rio Bend Golf Course,El Centro,CA,1589 Drew Rd,92243-9582,50.16188523,OSM (Medium Reliability),-115.690479,32.76608
Mira Vista Country Club,El Cerrito,CA,7901 Cutting Blvd,94530-1877,0.436175205,Tigris (High Reliability),-122.302169,37.932908
Serrano Country Club,El Dorado Hills,CA,5005 Serrano Pkwy,95762-7511,219.4813103,OSM (Medium Reliability),-121.048296,38.680551
El Macero Country Club,El Macero,CA,44571 Clubhouse Dr,44571,157.6277783,OSM (Medium Reliability),-121.68417,38.543795
Lakes At El Segundo,El Segundo,CA,400 S Sepulveda Blvd,90245-4635,25.23804036,OSM (Medium Reliability),-118.395723,33.909762
Emerald Lakes Golf Center & Driving Range,Elk Grove,CA,10651 E Stockton Blvd,10651,47.06361546,OSM (Medium Reliability),-121.357014,38.372105
Valley Hi Country Club,Elk Grove,CA,9595 Franklin Blvd,95758-5948,124.788559,OSM (Medium Reliability),-121.449299,38.411783
Cherry Island Golf Course,Elverta,CA,2360 Elverta Rd,95626-9734,167.1815753,OSM (Medium Reliability),-121.408271,38.714138
Encinitas Ranch Golf Course,Encinitas,CA,1275 Quail Gardens Dr,92024-2368,179.3633233,Tigris (High Reliability),-117.275501,33.068324
Sepulveda Golf,Encino,CA,16821 Burbank Blvd,16821,370.1426186,Tigris (High Reliability),-118.497142,34.169329
Escalon Golf Course,Escalon,CA,17051 Escalon Bellota Rd,17051,27.14524573,OSM (Medium Reliability),-120.997209,37.808631
Vineyard At Escondido,Escondido,CA,925 San Pasqual Rd,92025-7622,194.6544607,Tigris (High Reliability),-117.054074,33.073165
Escondido Country Club,Escondido,CA,1800 W Country Club Ln,92026-1003,70.99968635,Tigris (High Reliability),-117.124232,33.157101
Castle Creek Golf Club,Escondido,CA,8797 Circle R Dr,92026-5802,196.9716944,Tigris (High Reliability),-117.145014,33.25575
Eagle Crest Golf Club,Escondido,CA,3101 Hidden Oaks Ln,92027-6752,148.1768792,Tigris (High Reliability),-117.007417,33.116285
Meadow Lake Golf Course,Escondido,CA,10333 Meadow Glen Way E,10333,228.8314176,Tigris (High Reliability),-117.109291,33.215505
Reidy Creek Golf Course,Escondido,CA,2300 N Broadway,92026-1444,33.61034014,OSM (Medium Reliability),-117.092674,33.161259
Welk Resort San Diego,Escondido,CA,8860 Lawrence Welk Dr,92026-6403,23.93217653,OSM (Medium Reliability),-117.141708,33.232512
Eureka Golf Course,Eureka,CA,4750 Fairway Dr,95503-6471,212.2143634,Tigris (High Reliability),-124.168639,40.758537
Exeter Golf Course,Exeter,CA,510 W Visalia Rd,93221-1020,18.68170552,Tigris (High Reliability),-119.148457,36.297242
North Ridge Country Club,Fair Oaks,CA,7600 Madison Ave,95628-3400,167.5740703,OSM (Medium Reliability),-121.284423,38.663586
Meadow Club,Fairfax,CA,1001 Bolinas Rd,94930-2221,149.1492995,Tigris (High Reliability),-122.619743,37.973245
Paradise Valley Golf Course,Fairfield,CA,3950 Paradise Valley Rd,94533-9701,151.2286971,OSM (Medium Reliability),-122.025208,38.295701
Rancho Solano Golf Course,Fairfield,CA,3250 Rancho Solano Pkwy,94534-7896,13.72057576,OSM (Medium Reliability),-122.071544,38.290779
Green Valley Country Club,Fairfield,CA,35 Country Club Dr,94534-1305,138.204677,OSM (Medium Reliability),-122.167889,38.256504
Fall River Valley Golf & Country Club,Fall River Mills,CA,42889 Highway 299 East,42889,,No Match Found,-121.449778,40.999964
Rancho Monserate Country Club and Homeowners Assoc,Fallbrook,CA,4650 Dulin Rd,92028-9346,24.59440912,Tigris (High Reliability),-117.163757,33.31737
The Golf Club of California,Fallbrook,CA,3742 Flowerwood Ln,92028-8013,,No Match Found,-117.201627,33.32132
Fallbrook Golf Club,Fallbrook,CA,2757 Gird Rd,92028-8897,65.50146111,Tigris (High Reliability),-117.190623,33.342525
Pala Mesa Resort,Fallbrook,CA,2001 Old Highway 395,92028-9771,76.28037435,Tigris (High Reliability),-117.159798,33.355594
J.B. Golf Course,Farmington,CA,24305 East Highway 4,24305,31.37485518,OSM (Medium Reliability),-121.009279,37.9299
Elkins Ranch Golf Course,Fillmore,CA,1386 Chambersburg Rd,93015-9715,67.75823132,Tigris (High Reliability),-118.915451,34.372877
Empire Ranch Golf Club,Folsom,CA,1620 E Natoma St,95630-5314,188.3659973,OSM (Medium Reliability),-121.112487,38.68493
Sierra Lakes Golf Course,Fontana,CA,16600 Clubhouse Dr,16600,150.8606011,OSM (Medium Reliability),-117.44226,34.145031
Redwood Empire Golf & Country Club,Fortuna,CA,352 Country Club Dr,95540-9212,130.4947214,OSM (Medium Reliability),-124.108198,40.565931
Mariners Point Golf Links,Foster City,CA,2401 E 3rd Ave,94404-1067,22.47560935,OSM (Medium Reliability),-122.284146,37.57085
David L. Baker Memorial Golf Course,Fountain Valley,CA,10410 Edinger Ave,10410,74.77321319,Tigris (High Reliability),-117.949081,33.730394
Mile Square Golf Course,Fountain Valley,CA,10401 Warner Ave,10401,3.705754658,Tigris (High Reliability),-117.947525,33.716552
Fremont Park Golf Course,Fremont,CA,39751 Stevenson Pl,39751,52.19967385,OSM (Medium Reliability),-121.957598,37.557863
Airways Golf Course,Fresno,CA,5440 E Shields Ave,93727-7793,97.50314745,Tigris (High Reliability),-119.706261,36.779259
Riverside Golf Course,Fresno,CA,7492 N Bryan Ave,93722-9725,161.3743398,Tigris (High Reliability),-119.909966,36.844958
Belmont Country Club,Fresno,CA,8253 E Belmont Ave,93727-2583,115.8307104,Tigris (High Reliability),-119.641185,36.750062
Copper River Country Club,Fresno,CA,11500 N Friant Rd,11500,,No Match Found,-119.76126,36.900948
Fort Washington Golf & Country Club,Fresno,CA,10272 N Millbrook Ave,10272,126.6330838,Tigris (High Reliability),-119.765628,36.885764
San Joaquin Country Club,Fresno,CA,3484 W Bluff Ave,93711-0105,182.8376727,Tigris (High Reliability),-119.852113,36.850027
Sunnyside Country Club,Fresno,CA,5704 E Butler Ave,93727-5499,142.9245635,Tigris (High Reliability),-119.694992,36.728951
Fig Garden Golf Club,Fresno,CA,7700 N Van Ness Blvd,93711-0436,174.2585687,Tigris (High Reliability),-119.834921,36.849835
Hank's Par 3 & Driving Range,Fresno,CA,6101 E Olive Ave,93727-2808,27.66779126,Tigris (High Reliability),-119.681195,36.757282
River Park Golf Center,Fresno,CA,41445 Avenue 9,41445,28.45259435,OSM (Medium Reliability),-119.794424,36.880965
Brighton Crest Country Club,Friant,CA,21722 Fairway Oaks Ln,21722,38.13085751,OSM (Medium Reliability),-119.644588,36.981237
Coyote Hills Golf Club,Fullerton,CA,1440 E Bastanchury Rd,92835-2822,191.8359874,Tigris (High Reliability),-117.905406,33.899358
Fullerton Golf Course,Fullerton,CA,2700 N Harbor Blvd,92835-2603,119.6389735,Tigris (High Reliability),-117.9291,33.900365
Dry Creek Ranch Golf Course,Galt,CA,809 Crystal Way,95632-8435,114.8886122,OSM (Medium Reliability),-121.287651,38.248269
Benbow Valley Resort Country Club,Garberville,CA,7000 Benbow Dr,95542-3603,36.72631198,Tigris (High Reliability),-123.785859,40.068345
Golden Era Golf Course,Gilman Hot Springs,CA,19871 US Highway 79,19871,54.19566811,OSM (Medium Reliability),-116.975069,33.82397
Eagle Ridge Golf Club,Gilroy,CA,2951 Club Dr,95020-3043,291.0361028,OSM (Medium Reliability),-121.610703,37.000636
Gavilian Golf Course,Gilroy,CA,5055 Santa Teresa Blvd,95020-9578,36.86132212,OSM (Medium Reliability),-121.56489,36.971175
Gilroy Golf Course,Gilroy,CA,2695 Hecker Pass Rd,95020-9402,99.36834577,Tigris (High Reliability),-121.620391,37.011983
Scholl Canyon Golf Course,Glendale,CA,3800 E Glenoaks Blvd,91206-3128,58.89285347,Tigris (High Reliability),-118.200882,34.160907
Oakmont Country Club,Glendale,CA,3100 Country Club Dr,91208-1714,112.2218315,Tigris (High Reliability),-118.234763,34.193458
Chevy Chase Country Club,Glendale,CA,3067 E Chevy Chase Dr,91206-1900,45.49905195,Tigris (High Reliability),-118.203555,34.169841
Glendora Country Club,Glendora,CA,310 Amelia Ave,91741-4005,109.7154206,Tigris (High Reliability),-117.820367,34.132412
Glenoaks Golf Course,Glendora,CA,200 W Dawson Ave,91740-5015,27.90407719,Tigris (High Reliability),-117.86619,34.117422
Glen Annie Golf Club,Goleta,CA,405 Glen Annie Rd,93117-1427,148.8627496,OSM (Medium Reliability),-119.876867,34.449445
Ocean Meadows Golf Course,Goleta,CA,6925 Whittier Dr,93117-4003,90.73402901,Tigris (High Reliability),-119.87081,34.422385
Twin Lakes Golf Course,Goleta,CA,6034 Hollister Ave,93117-3218,12.71885708,Tigris (High Reliability),-119.831574,34.435998
Graeagle Meadows Golf Course,Graeagle,CA,6984 Highway 89,96103,299.5149507,OSM (Medium Reliability),-120.616409,39.7643
Knollwood Golf Club,Granada Hills,CA,12040 Balboa Blvd,12040,149.6616502,Tigris (High Reliability),-118.501645,34.289246
Granite Bay Golf Club,Granite Bay,CA,9600 Golf Club Dr,95746-6721,134.7318777,OSM (Medium Reliability),-121.19486,38.724564
Rolling Greens Golf Course,Granite Bay,CA,5572 Eureka Rd,95746-8923,,No Match Found,-121.197104,38.736127
Alta Sierra Country Club Inc,Grass Valley,CA,11897 Tammy Way,11897,303.4873292,OSM (Medium Reliability),-121.048564,39.135097
Nevada County Country Club,Grass Valley,CA,1040 E Main St,95945-5708,59.73801325,Tigris (High Reliability),-121.049969,39.229808
Quail Valley Country Club,Grass Valley,CA,12594 Auburn Rd,12594,,No Match Found,-121.082671,39.189186
Pine Mountain Lake Country Club,Groveland,CA,12765 Mueller Dr,12765,20.99848967,OSM (Medium Reliability),-120.221834,37.854372
Pismo State Beach Golf Course,Grover Beach,CA,Just Off of LaSage Drive,93433,44.05977866,Tigris (High Reliability),-120.633468,35.123481
Wildwood Mobile Country Club,Hacienda Heights,CA,901 6th Ave,91745-1213,,No Match Found,-117.989637,34.02527
Half Moon Bay Golf Links,Half Moon Bay,CA,2 Miramontes Point Rd,94019-2377,90.79933103,OSM (Medium Reliability),-122.426848,37.425244
Kings Country Club,Hanford,CA,3529 12th Ave,93230-9608,142.2083063,OSM (Medium Reliability),-119.672591,36.419558
Lakeview Golf Course,Hanford,CA,8945 Hanford Armona Rd,93230-9344,,No Match Found,-119.617293,36.313335
Mission Hills of Hayward Golf Course,Hayward,CA,275 Industrial Pkwy,94544-6684,53.89809875,OSM (Medium Reliability),-122.049282,37.6276
Skywest Golf Course,Hayward,CA,1401 Golf Course Rd,94541-4695,148.7049046,Tigris (High Reliability),-122.131975,37.663067
TPC Stonebrae,Hayward,CA,222 Country Club Dr,94542-7927,289.1240199,OSM (Medium Reliability),-122.000602,37.646024
Tayman Park Golf Course,Healdsburg,CA,927 S Fitch Mountain Rd,95448-4609,66.42978884,Tigris (High Reliability),-122.855022,38.612556
Silver Lakes Country Club,Helendale,CA,14818 Clubhouse Drive,14818,221.6753633,Tigris (High Reliability),-117.341295,34.755092
Colonial Country Club,Hemet,CA,601 N Kirby St,92545-5902,,No Match Found,-116.998038,33.756426
Panorama Village Golf Course,Hemet,CA,1401 Teakwood Pl,92543-5733,13.83195909,OSM (Medium Reliability),-116.985839,33.739528
Hemet West Mobile Estates,Hemet,CA,5001 W Florida Ave,92545-3802,,No Match Found,-117.024522,33.74376
Diamond Valley Country Club,Hemet,CA,31220 Sage Rd,31220,,No Match Found,-116.968235,33.670922
Echo Hills Golf Club,Hemet,CA,545 E Thornton Ave,92543-8040,28.1974066,Tigris (High Reliability),-116.966245,33.72568
Hemet Golf Club,Hemet,CA,7575 World Cup Ave,92545-3425,0.022442996,OSM (Medium Reliability),-117.050901,33.750983
Seven Hills Golf Course,Hemet,CA,1537 S Lyon Ave,92543-7858,252.7478547,OSM (Medium Reliability),-116.989103,33.722137
Franklin Canyon Golf Course,Hercules,CA,Highway 4,94572,148.7149979,OSM (Medium Reliability),-122.215913,38.006951
Hesperia Golf & Country Club,Hesperia,CA,17970 Bangor Ave,17970,161.931877,Tigris (High Reliability),-117.269491,34.408323
Hidden Valley Lake Golf & Country Club,Hidden Valley Lake,CA,19210 Hartmann Rd,19210,26.60286167,OSM (Medium Reliability),-122.555156,38.796406
Burlingame Country Club,Hillsborough,CA,80 New Place Rd,94010-6446,109.0684103,Tigris (High Reliability),-122.369115,37.568214
Ridgemark Golf & Country Club Resort,Hollister,CA,3800 Airline Hwy,95023-9703,325.5215156,OSM (Medium Reliability),-121.362625,36.815947
San Juan Oaks Golf Club,Hollister,CA,3825 Union Rd,95023-9135,,No Match Found,-121.457107,36.839799
Barbara Worth Resort,Holtville,CA,2050 Country Club Dr,92250-9609,110.2127534,OSM (Medium Reliability),-115.421775,32.800604
Highland Palms Mobil Homes,Homeland,CA,30777 Butia Palm Dr,30777,25.19687304,Tigris (High Reliability),-117.122902,33.741337
Meadowlark Golf Course,Huntington Beach,CA,16782 Graham St,16782,98.80970774,Tigris (High Reliability),-118.032672,33.718787
SeaCliff Country Club,Huntington Beach,CA,6501 Palm Ave,92648-2611,143.4989393,Tigris (High Reliability),-118.01927,33.674634
Indian Wells Golf Resort,Indian Wells,CA,44500 Indian Wells Ln,44500,379.4668455,OSM (Medium Reliability),-116.329679,33.723632
Desert Horizons Country Club,Indian Wells,CA,44900 Desert Horizons Dr,44900,122.9953029,OSM (Medium Reliability),-116.34658,33.724035
Eldorado Country Club,Indian Wells,CA,46000 E Eldorado Dr,46000,295.3396075,OSM (Medium Reliability),-116.340204,33.712532
The Reserve Club,Indian Wells,CA,49400 Desert Butte Trl,49400,576.0160462,OSM (Medium Reliability),-116.364779,33.689822
The Vintage Club,Indian Wells,CA,75001 Vintage Dr W,75001,318.0780175,OSM (Medium Reliability),-116.356456,33.711015
Toscana Country Club,Indian Wells,CA,76009 Via Club Villa,76009,78.6237378,OSM (Medium Reliability),-116.338403,33.737307
Indian Wells Country Club,Indian Wells,CA,46000 Club Dr,46000,343.7518683,OSM (Medium Reliability),-116.326851,33.713336
Indio Golf Course,Indio,CA,83040 Avenue 42,83040,,No Match Found,-116.213902,33.744241
The Plantation Golf Course,Indio,CA,50994 Monroe St,50994,,No Match Found,-116.233774,33.67857
Outdoor Resort Indio,Indio,CA,80394 Avenue 48,80394,3.672562272,OSM (Medium Reliability),-116.260707,33.700118
Rancho Casa Blanca,Indio,CA,84136 Avenue 44,84136,3.076328244,OSM (Medium Reliability),-116.196985,33.729495
Golf Club At Terra Lago,Indio,CA,84000 Landmark Pkwy,84000,372.9470476,OSM (Medium Reliability),-116.185803,33.741348
Eagle Falls Golf Course,Indio,CA,84245 Indio Springs Dr,84245,,No Match Found,-116.193209,33.721823
