course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude
Oakmont Country Club,3100 Country Club Dr,Glendale,CA,91208-1714,Private,18 Holes,(818) 542-4292,-118.234763,34.193458
Chevy Chase Country Club,3067 E Chevy Chase Dr,Glendale,CA,91206-1900,Semi Private,9 Holes,(818) 246-5566,-118.203555,34.169841
Glendora Country Club,310 Amelia Ave,Glendora,CA,91741-4005,Private,18 Holes,(626) 335-4051,-117.820367,34.132412
Glenoaks Golf Course,200 W Dawson Ave,Glendora,CA,91740-5015,Public,9 Holes,(626) 335-7565,-117.86619,34.117422
Glen Annie Golf Club,405 Glen Annie Rd,Goleta,CA,93117-1427,Public,18 Holes,(805) 968-6400,-119.876867,34.449445
Ocean Meadows Golf Course,6925 Whittier Dr,Goleta,CA,93117-4003,Public,9 Holes,(805) 968-6814,-119.87081,34.422385
Twin Lakes Golf Course,6034 Hollister Ave,Goleta,CA,93117-3218,Public,9 Holes,(805) 964-1414,-119.831574,34.435998
Graeagle Meadows Golf Course,6984 Highway 89,Graeagle,CA,96103,Public,18 Holes,(530) 836-2323,-120.616409,39.7643
Knollwood Golf Club,12040 Balboa Blvd,Granada Hills,CA,12040,Municipal,18 Holes,(818) 831-1366,-118.501645,34.289246
Granite Bay Golf Club,9600 Golf Club Dr,Granite Bay,CA,95746-6721,Semi Private,18 Holes,(916) 791-5379,-121.19486,38.724564
Rolling Greens Golf Course,5572 Eureka Rd,Granite Bay,CA,95746-8923,Public,9 Holes,(916) 797-9986,-121.197104,38.736127
Alta Sierra Country Club Inc,11897 Tammy Way,Grass Valley,CA,11897,Public,18 Holes,(530) 273-2010,-121.048564,39.135097
Nevada County Country Club,1040 E Main St,Grass Valley,CA,95945-5708,Public,9 Holes,(530) 273-6436,-121.049969,39.229808
Quail Valley Country Club,12594 Auburn Rd,Grass Valley,CA,12594,Public,9 Holes,(530) 274-1340,-121.082671,39.189186
Pine Mountain Lake Country Club,12765 Mueller Dr,Groveland,CA,12765,Public,18 Holes,(209) 962-8620,-120.221834,37.854372
Pismo State Beach Golf Course,Just Off of LaSage Drive,Grover Beach,CA,93433,Municipal,9 Holes,(805) 481-5215,-120.633468,35.123481
Wildwood Mobile Country Club,901 6th Ave,Hacienda Heights,CA,91745-1213,Semi Private,9 Holes,(626) 968-2338,-117.989637,34.02527
Half Moon Bay Golf Links,2 Miramontes Point Rd,Half Moon Bay,CA,94019-2377,Public,18 Holes,(650) 726-4438,-122.426848,37.425244
Kings Country Club,3529 12th Ave,Hanford,CA,93230-9608,Private,9 Holes,(559) 582-0740,-119.672591,36.419558
Lakeview Golf Course,8945 Hanford Armona Rd,Hanford,CA,93230-9344,Public,9 Holes,(559) 583-7888,-119.617293,36.313335
Mission Hills of Hayward Golf Course,275 Industrial Pkwy,Hayward,CA,94544-6684,Municipal,9 Holes,(510) 888-0200,-122.049282,37.6276
Skywest Golf Course,1401 Golf Course Rd,Hayward,CA,94541-4695,Municipal,18 Holes,(510) 317-2300,-122.131975,37.663067
TPC Stonebrae,222 Country Club Dr,Hayward,CA,94542-7927,Semi Private,18 Holes,(510) 728-7878,-122.000602,37.646024
Tayman Park Golf Course,927 S Fitch Mountain Rd,Healdsburg,CA,95448-4609,Municipal,9 Holes,(707) 433-4275,-122.855022,38.612556
Silver Lakes Country Club,14818 Clubhouse Drive,Helendale,CA,14818,Private,36 Holes,(760) 245-7435,-117.341295,34.755092
Colonial Country Club,601 N Kirby St,Hemet,CA,92545-5902,Private,18 Holes,(951) 925-2664,-116.998038,33.756426
Panorama Village Golf Course,1401 Teakwood Pl,Hemet,CA,92543-5733,Private,9 Holes,(951) 658-1832,-116.985839,33.739528
Hemet West Mobile Estates,5001 W Florida Ave,Hemet,CA,92545-3802,Semi Private,9 Holes,(909) 925-2575,-117.024522,33.74376
Diamond Valley Country Club,31220 Sage Rd,Hemet,CA,31220,Public,18 Holes,(951) 767-0828,-116.968235,33.670922
Echo Hills Golf Club,545 E Thornton Ave,Hemet,CA,92543-8040,Public,9 Holes,(951) 652-2203,-116.966245,33.72568
Hemet Golf Club,7575 World Cup Ave,Hemet,CA,92545-3425,Public,18 Holes,(951) 926-4653,-117.050901,33.750983
Seven Hills Golf Course,1537 S Lyon Ave,Hemet,CA,92543-7858,Public,18 Holes,(951) 925-4815,-116.989103,33.722137
Franklin Canyon Golf Course,Highway 4,Hercules,CA,94572,Public,18 Holes,(510) 799-6191,-122.215913,38.006951
Hesperia Golf & Country Club,17970 Bangor Ave,Hesperia,CA,17970,Public,18 Holes,(760) 244-9301,-117.269491,34.408323
Hidden Valley Lake Golf & Country Club,19210 Hartmann Rd,Hidden Valley Lake,CA,19210,Public,18 Holes,(707) 987-3035,-122.555156,38.796406
Burlingame Country Club,80 New Place Rd,Hillsborough,CA,94010-6446,Private,18 Holes,(650) 343-1843,-122.369115,37.568214
Ridgemark Golf & Country Club Resort,3800 Airline Hwy,Hollister,CA,95023-9703,Public,36 Holes,(831) 634-2222,-121.362625,36.815947
San Juan Oaks Golf Club,3825 Union Rd,Hollister,CA,95023-9135,Public,18 Holes,(800) 453-8337,-121.457107,36.839799
Barbara Worth Resort,2050 Country Club Dr,Holtville,CA,92250-9609,Public,18 Holes,(760) 356-5800,-115.421775,32.800604
Highland Palms Mobil Homes,30777 Butia Palm Dr,Homeland,CA,30777,Private,9 Holes,(951) 926-3952,-117.122902,33.741337
Meadowlark Golf Course,16782 Graham St,Huntington Beach,CA,16782,Municipal,18 Holes,(714) 846-1364,-118.032672,33.718787
SeaCliff Country Club,6501 Palm Ave,Huntington Beach,CA,92648-2611,Semi Private,18 Holes,(714) 536-7575,-118.01927,33.674634
Indian Wells Golf Resort,44500 Indian Wells Ln,Indian Wells,CA,44500,Municipal,36 Holes,(760) 346-4653,-116.329679,33.723632
Desert Horizons Country Club,44900 Desert Horizons Dr,Indian Wells,CA,44900,Private,18 Holes,(760) 340-4646,-116.34658,33.724035
Eldorado Country Club,46000 E Eldorado Dr,Indian Wells,CA,46000,Private,18 Holes,(760) 346-8081,-116.340204,33.712532
The Reserve Club,49400 Desert Butte Trl,Indian Wells,CA,49400,Private,18 Holes,(760) 674-2240,-116.364779,33.689822
The Vintage Club,75001 Vintage Dr W,Indian Wells,CA,75001,Private,36 Holes,(760) 862-2076,-116.356456,33.711015
Toscana Country Club,76009 Via Club Villa,Indian Wells,CA,76009,Private,27 Holes,(760) 404-1457,-116.338403,33.737307
Indian Wells Country Club,46000 Club Dr,Indian Wells,CA,46000,Semi Private,36 Holes,(760) 345-2561,-116.326851,33.713336
Indio Golf Course,83040 Avenue 42,Indio,CA,83040,Municipal,18 Holes,(760) 347-9156,-116.213902,33.744241
The Plantation Golf Course,50994 Monroe St,Indio,CA,50994,Private,18 Holes,(760) 775-3688,-116.233774,33.67857
Outdoor Resort Indio,80394 Avenue 48,Indio,CA,80394,Semi Private,18 Holes,(800) 892-2992,-116.260707,33.700118
Rancho Casa Blanca,84136 Avenue 44,Indio,CA,84136,Semi Private,18 Holes,(760) 775-7116,-116.196985,33.729495
Golf Club At Terra Lago,84000 Landmark Pkwy,Indio,CA,84000,Public,36 Holes,(760) 775-2000,-116.185803,33.741348
Eagle Falls Golf Course,84245 Indio Springs Dr,Indio,CA,84245,Public,18 Holes,(760) 238-5633,-116.193209,33.721823
Heritage Palms Golf Club,44291 Heritage Palms Dr S,Indio,CA,44291,Public,18 Holes,(760) 772-7334,-116.262869,33.72823
Indian Palms Country Club & Resort,48630 Monroe St,Indio,CA,48630,Public,54 Holes,(760) 775-4444,-116.23372,33.695897
Indian Springs Golf & Country Club,79940 Westward Ho Dr,Indio,CA,79940,Public,18 Holes,(760) 200-8988,-116.270076,33.714784
Shadow Hills Golf Club,80875 Avenue 40,Indio,CA,80875,Public,27 Holes,(760) 200-3375,-116.253783,33.758218
Castle Oaks Golf Club,1000 Castle Oaks Drive,Ione,CA,95640,Public,18 Holes,(209) 274-0167,-120.952911,38.361604
Shady Canyon Golf Club,100 Shady Canyon Dr,Irvine,CA,92603-0301,Private,18 Holes,(949) 856-7000,-117.795773,33.633069
Oak Creek Golf Club,1 Golf Club Dr,Irvine,CA,92618-5210,Public,18 Holes,(949) 653-5300,-117.771466,33.675573
Rancho San Joaquin Golf Course,1 Ethel Coplen Way,Irvine,CA,92612-1716,Public,18 Holes,(949) 451-0840,-117.831235,33.663948
Strawberry Farms Golf Club,11 Strawberry Farm Rd,Irvine,CA,92612-2300,Public,18 Holes,(949) 551-1811,-117.796399,33.649651
Steele Canyon Golf Club,3199 Stonefield Dr,Jamul,CA,91935-1527,Public,36 Holes,(619) 441-6900,-116.894093,32.743198
Buckingham Golf & Country Club,2855 Eastlake Dr,Kelseyville,CA,95451-9031,Public,9 Holes,(707) 279-4863,-122.752037,39.0011
Konocti Hills Country Club,10200 Fairway Dr,Kelseyville,CA,10200,Public,9 Holes,(707) 277-7575,-122.718941,38.951064
Javier's Fresno West Golf & Country Club,23986 W Whitesbridge Ave,Kerman,CA,23986,Public,18 Holes,(559) 846-8655,-120.221975,36.734539
Kern Valley Golf & Country Club,9472 Burlando Road,Kernville,CA,93238,Public,9 Holes,(760) 376-2828,-118.388738,35.758688
King City Golf Course,613 S Vanderhurst Ave,King City,CA,93930-3023,Municipal,9 Holes,(831) 385-4546,-121.12283,36.206392
Old Brockway Golf Club,7900 North Lake Blvd,Kings Beach,CA,96143,Public,9 Holes,(530) 546-9909,-120.033641,39.238911
Kings River Golf & Country Club,3100 Avenue 400,Kingsburg,CA,93631-8805,Private,27 Holes,(559) 897-5661,-119.505439,36.518027
La Canada Flintridge Country Club,5500 Godbey Dr,La Canada,CA,91011-1836,Semi Private,18 Holes,(818) 790-0611,-118.187142,34.214706
Lake Don Pedro Golf and Country Club,9643 Fachada Way,La Grange,CA,95329-8613,Public,18 Holes,(209) 852-0404,-120.35463,37.633696
Hacienda Golf Club,718 East Rd,La Habra Heights,CA,90631-8155,Private,18 Holes,(562) 694-1081,-117.947365,33.960161
Westridge Golf Club,1400 S La Habra Hills Dr,La Habra,CA,90631-6998,Public,18 Holes,(562) 690-4200,-117.965068,33.915094
Torrey Pines Golf Course,11480 N Torrey Pines Rd,La Jolla,CA,11480,Municipal,36 Holes,(800) 985-4653,-117.243433,32.904429
La Jolla Country Club,7301 High Ave,La Jolla,CA,92037-5210,Private,18 Holes,(858) 454-9601,-117.269581,32.837455
La Jolla Beach & Tennis Club,2000 Spindrift Dr,La Jolla,CA,92037-3237,Semi Private,18 Holes,(858) 454-7126,-117.260794,32.852141
Sun Valley Fairways,5080 Memorial Dr,La Mesa,CA,91941-3847,Public,9 Holes,(619) 466-6102,-117.016036,32.770602
La Mirada Golf Course,15501 Alicante Rd,La Mirada,CA,15501,Municipal,18 Holes,(562) 943-7123,-118.000681,33.902697
SilverRock Resort,79600 Avenue 54,La Quinta,CA,79600,Municipal,18 Holes,(888) 600-7272,-116.275432,33.656541
La Quinta Country Club,77750 Avenue 50,La Quinta,CA,77750,Private,18 Holes,(760) 564-4151,-116.306885,33.68497
Mountain View Country Club,80375 Pomelo,La Quinta,CA,80375,Private,18 Holes,(760) 771-4311,-116.262426,33.679659
Rancho La Quinta Golf Course,79301 Cascadas Cir,La Quinta,CA,79301,Private,36 Holes,(760) 777-7799,-116.280807,33.697667
The Hideaway Golf Club,80440 Hideaway Club Ct,La Quinta,CA,80440,Private,36 Holes,(760) 777-7400,-116.262918,33.665844
The Madison Club,53035 Meriwether Way,La Quinta,CA,53035,Private,18 Holes,(760) 391-4500,-116.241017,33.67089
The Palms Golf Club,57000 Palms Dr,La Quinta,CA,57000,Private,18 Holes,(760) 771-2606,-116.241629,33.63695
The Quarry at LaQuinta,1 Quarry Ln,La Quinta,CA,92253-8004,Private,18 Holes,(760) 777-1100,-116.273546,33.623942
Tradition Golf Club,78505 Old Avenue 52,La Quinta,CA,78505,Private,27 Holes,(760) 564-1067,-116.29413,33.674028
Andalusia At Coral Mountain,58830 Marbella St,La Quinta,CA,58830,Semi Private,18 Holes,(800) 773-9310,-116.26814,33.672878
La Quinta Golf Course Citrus,50503 Mandarina,La Quinta,CA,50503,Semi Private,18 Holes,(760) 564-7620,-116.27073,33.680552
PGA West Private Golf Courses,55955 Pga Blvd,La Quinta,CA,55955,Semi Private,54 Holes,(760) 564-7111,-116.265134,33.643505
Greg Norman Course,81405 Kingston Heath,La Quinta,CA,81405,Public,18 Holes,(760) 564-3900,-116.244385,33.647009
La Quinta Resort Golf Course,50200 Avenida Vista Bonita,La Quinta,CA,50200,Public,36 Holes,(760) 564-7610,-116.312102,33.685763
Palm Royale Country Club,78259 Indigo Dr,La Quinta,CA,78259,Public,18 Holes,(760) 345-9701,-116.299741,33.727854
PGA West Stadium Clubhouse,56150 Pga Blvd,La Quinta,CA,56150,Public,36 Holes,(760) 564-7170,-116.260362,33.640535
Golf Club At LaQuinta,60151 Trilogy Pkwy,La Quinta,CA,60151,Public,18 Holes,(760) 771-0707,-116.241826,33.609979
Marshall Canyon Golf Course,6100 Stephens Ranch Rd,La Verne,CA,91750-1135,Municipal,18 Holes,(909) 593-8211,-117.754043,34.147897
Sierra La Verne Country Club,6300 Country Club Dr,La Verne,CA,91750-1408,Semi Private,18 Holes,(909) 596-2100,-117.766883,34.138488
Aliso Creek Inn & Golf Course,31106 Coast Hwy,Laguna Beach,CA,31106,Public,9 Holes,(949) 499-1919,-117.751531,33.51049
El Niguel Country Club,23700 Clubhouse Dr,Laguna Niguel,CA,23700,Private,18 Holes,(949) 496-5767,-117.716269,33.512278
Laguna Woods Golf Course,24112 Moulton Pkwy,Laguna Woods,CA,24112,Private,36 Holes,(949) 597-4336,-117.728851,33.612148
Bailey Creek Golf Course,433 Durkin Dr,Lake Almanor,CA,96137-9611,Public,18 Holes,(530) 259-4653,-121.140473,40.291386
Lake Arrowhead Country Club,250 Golf Course Road,Lake Arrowhead,CA,92352,Private,18 Holes,(909) 337-2441,-117.215764,34.255412
Links at Summerly,29381 Village Pkwy,Lake Elsinore,CA,29381,Public,18 Holes,(951) 674-3900,-117.306456,33.649291
Lake Forest Golf & Practice Center,23308 Cherry Ave,Lake Forest,CA,23308,Public,9 Holes,(949) 859-1455,-117.690375,33.624198
Lake Elizabeth Golf & Ranch Club,42505 Ranch Club Rd,Lake Hughes,CA,42505,Public,18 Holes,(661) 724-1221,-118.388719,34.65225
Barona Creek Golf Course,1932 Wildcat Canyon Rd,Lakeside,CA,92040-1553,Public,18 Holes,(888) 722-7662,-116.869462,32.933515
Willowbrook Golf Course,11905 Riverside Dr,Lakeside,CA,11905,Public,9 Holes,(619) 561-1061,-116.938316,32.864011
Lakewood Country Club & Tennis Center,3101 Carson St,Lakewood,CA,90712-4005,Municipal,18 Holes,(562) 429-9711,-118.154567,33.832602
Lancaster Golf Center,431 E Avenue K4,Lancaster,CA,93535-4664,Public,9 Holes,(661) 726-3131,-118.122882,34.671447
Rancho Sierra Golf Club,47205 60th St E,Lancaster,CA,47205,Public,9 Holes,(661) 946-1080,-118.02332,34.74123
Alondra Park Golf Course,16400 Prairie Ave,Lawndale,CA,16400,Municipal,45 Holes,(310) 217-9916,-118.343756,33.881768
Lemoore Municipal Golf Course,350 Iona Ave,Lemoore,CA,93245-9435,Municipal,18 Holes,(559) 924-9658,-119.785239,36.283826
Likely Links & RV Park,1540 County Road 64,Likely,CA,96116,Public,36 Holes,(888) 350-3848,-120.396731,41.234264
Catta Verdera Country Club At Twelve Bridges,1111 Catta Verdera,Lincoln,CA,95648-9649,Semi Private,18 Holes,(916) 645-7200,-121.243325,38.854117
The Lincoln Hills Club,1005 Sun City Ln,Lincoln,CA,95648-8443,Public,36 Holes,(916) 543-9200,-121.274404,38.869129
Turkey Creek Golf Course,1525 State Highway 193,Lincoln,CA,95648-9639,Public,18 Holes,(916) 434-9100,-121.265235,38.886676
Lindsay Golf Course,801 N Elmwood Ave,Lindsay,CA,93247-1500,Public,9 Holes,(559) 562-5544,-119.092617,36.212612
Little River Inn Golf & Tennis,7751 N Highway 1,Little River,CA,95456-9500,Public,9 Holes,(888) 937-5942,-123.788559,39.270999
Las Positas Golf Course,917 Club House Dr,Livermore,CA,94551-9608,Municipal,27 Holes,(925) 455-7820,-121.823616,37.696766
Springtown Golf Course,939 Larkspur Dr,Livermore,CA,94551-1423,Municipal,9 Holes,(925) 455-5695,-121.74035,37.706138
Poppy Ridge Golf Course,4280 Greenville Rd,Livermore,CA,94550-9720,Public,54 Holes,(925) 456-8202,-121.696476,37.660771
The Course At Wente Vineyards,5040 Arroyo Rd,Livermore,CA,94550-9645,Public,18 Holes,(925) 456-2475,-121.758377,37.622722
Crystalaire Country Club,15701 Boca Raton Ave,Llano,CA,15701,Private,18 Holes,(661) 944-2111,-117.847027,34.469402
Adam Springs Golf Course,14347 Snead Court,Loch Lomond,CA,14347,Public,9 Holes,(707) 928-9992,-122.723227,38.849236
Micke Grove Golf Links,11401 N Micke Grove Rd,Lodi,CA,11401,Municipal,18 Holes,(209) 369-4410,-121.269234,38.076186
Lockeford Springs Golf Course,16360 N Highway 88,Lodi,CA,16360,Public,18 Holes,(209) 333-6275,-121.166004,38.130884
Village Country Club,4300 Clubhouse Rd,Lompoc,CA,93436-1349,Private,18 Holes,(805) 733-3537,-120.456463,34.710523
La Purisima Golf Course,3455 E Highway 246,Lompoc,CA,93436-9612,Public,18 Holes,(805) 735-8395,-120.386232,34.6648
Mt. Whitney Golf Club,2559 S Main St,Lone Pine,CA,93545,Public,9 Holes,(760) 876-5795,-118.05773,36.579763
El Dorado Park Golf Course,2400 N Studebaker Rd,Long Beach,CA,90815-2428,Municipal,18 Holes,(562) 430-5411,-118.099094,33.798379
Heartwell Golf Course,6700 E Carson St,Long Beach,CA,90808-2256,Municipal,18 Holes,(562) 421-8855,-118.102815,33.832054
Recreation Park Golf Course 9,5000 E 7th St,Long Beach,CA,90804-4340,Municipal,9 Holes,(562) 438-4012,-118.134654,33.775278
Recreation Park Golf Course,5001 Deukmejian Dr,Long Beach,CA,90804-4311,Municipal,18 Holes,(562) 494-4424,-118.135376,33.779769
Skylinks At Long Beach Golf Course,4800 E Wardlow Rd,Long Beach,CA,90808-1737,Municipal,18 Holes,(562) 421-3388,-118.138127,33.818606
Virginia Country Club,4602 N Virginia Rd,Long Beach,CA,90807-1916,Private,18 Holes,(562) 427-0924,-118.195686,33.838068
Bixby Village Golf Course,6180 Bixby Village Dr,Long Beach,CA,90803-2001,Public,9 Holes,(562) 498-7003,-118.114366,33.769599
Indian Creek Country Club Inc,4487 Barton Rd,Loomis,CA,95650-9070,Public,9 Holes,(916) 652-5546,-121.188917,38.803173
Los Altos Golf & Country Club,1560 Country Club Dr,Los Altos,CA,94024-5907,Private,18 Holes,(650) 947-3100,-122.090886,37.351798
Chester Washington Golf Course,1930 W 120th St,Los Angeles,CA,90047-5168,Municipal,18 Holes,(323) 756-6975,-118.312636,33.92338
Harding and Wilson Municipal Golf Course,4900 Crystal Springs Dr,Los Angeles,CA,90027,Municipal,36 Holes,(323) 664-2255,-118.274119,34.12486
Los Feliz Municipal Golf Course,3207 Los Feliz Blvd,Los Angeles,CA,90039-1508,Municipal,9 Holes,(323) 663-7758,-118.269043,34.123254
Maggie Hathaway Golf Course,1921 W 98th St,Los Angeles,CA,90047-5900,Municipal,9 Holes,(323) 755-6285,-118.308619,33.947111
Rancho Park Golf Club,10460 W Pico Blvd,Los Angeles,CA,10460,Municipal,27 Holes,(310) 839-9812,-118.41855,34.045427
Roosevelt Municipal Golf Course,2650 N Vermont Ave,Los Angeles,CA,90027-1245,Municipal,9 Holes,(323) 665-2011,-118.29207,34.117865
Bel Air Country Club,10768 Bellagio Rd,Los Angeles,CA,10768,Private,18 Holes,(310) 472-9563,-118.45063,34.08003
Brentwood Country Club,590 S Burlingame Ave,Los Angeles,CA,90049-4826,Private,18 Holes,(310) 451-8011,-118.485553,34.046602
Hillcrest Country Club,10000 W Pico Blvd,Los Angeles,CA,10000,Private,18 Holes,(310) 300-6130,-118.406292,34.052407
Los Angeles Country Club,10101 Wilshire Blvd,Los Angeles,CA,10101,Private,36 Holes,(310) 276-6104,-118.419436,34.067522
Wilshire Country Club,301 N Rossmore Ave,Los Angeles,CA,90004-2403,Private,18 Holes,(323) 934-1121,-118.327226,34.076117
Mountain Gate Country Club,12445 Mountain Gate Dr,Los Angeles,CA,12445,Semi Private,45 Holes,(310) 476-6215,-118.487839,34.107436
Westchester Golf Course,6900 W Manchester Ave,Los Angeles,CA,90045-3701,Public,18 Holes,(310) 649-9167,-118.412596,33.959608
La Rinconada Country Club,14597 Clearview Dr,Los Gatos,CA,14597,Private,18 Holes,(408) 395-4220,-121.975412,37.256633
Sea Pines Golf Resort,1930 Solano St,Los Osos,CA,93402,Public,9 Holes,(888) 732-7463,-120.853504,35.316182
Madera Golf Course,23200 Avenue 17,Madera,CA,23200,Municipal,18 Holes,(559) 675-3504,-120.128487,36.996363
Madera Golf & Country Club,19297 Road 26,Madera,CA,19297,Private,18 Holes,(559) 674-2682,-120.074263,37.030865
Riverbend Golf Club,43369 Avenue 12,Madera,CA,43369,Public,18 Holes,(559) 432-3020,-119.760777,36.927403
Paradise Pines Golf Course,13917 S Park Dr,Magalia,CA,13917,Public,9 Holes,(530) 873-1111,-121.592755,39.814261
Malibu Country Club,901 Encinal Canyon Rd,Malibu,CA,90265-2405,Public,18 Holes,(818) 889-6680,-118.853752,34.08764
Sierra Star Golf Course,2001 Sierra Star Parkway,Mammoth Lakes,CA,93546,Public,18 Holes,(888) 462-6668,-118.982291,37.639139
Snowcreek Resort Golf Course,Old Mammoth Road & Fairway Drive,Mammoth Lakes,CA,93546,Public,9 Holes,NA,-118.972552,37.63124
Manhattan Beach Golf Course,1400 Park View Ave,Manhattan Beach,CA,90266-3714,Public,9 Holes,(310) 939-1465,-118.388436,33.900621
Manteca Park Golf Course,305 N Union Rd,Manteca,CA,95337-4307,Municipal,18 Holes,(209) 825-2500,-121.235153,37.801007
French Camp RV Park and Golf Course,3919 French Camp Rd,Manteca,CA,95336-8474,Public,9 Holes,(209) 234-3030,-121.221594,37.860938
Pine Meadows Public Golf Course,451 Vine Hill Way,Martinez,CA,94553-4840,Public,9 Holes,(925) 228-2881,-122.096906,37.987433
Peach Tree Golf & Country Club,2043 Simpson Dantoni Rd,Marysville,CA,95901-8020,Private,18 Holes,(530) 743-1897,-121.545818,39.136441
Mather Golf Course,4103 Eagles Nest Rd,Mather,CA,95655-2900,Municipal,18 Holes,(916) 364-4354,-121.261275,38.554526
McCloud Golf Club,1001 Squaw Valley Road,McCloud,CA,96057,Public,9 Holes,(530) 964-2535,-122.133754,41.239327
Beau Pre Golf Club,1777 Norton Rd,McKinleyville,CA,95519-9456,Public,18 Holes,(800) 931-6690,-124.096814,40.963531
Winchester Country Club,3030 Legends Dr,Meadow Vista,CA,95722-9346,Public,18 Holes,(530) 878-9585,-121.047297,38.989301
Menifee Lakes Country Club,29875 Menifee Lakes Dr,Menifee,CA,29875,Public,36 Holes,(951) 672-4824,-117.159317,33.687091
Sharon Heights Golf & Country Club,2900 Sand Hill Rd,Menlo Park,CA,94025-7006,Private,18 Holes,(650) 854-6429,-122.216145,37.420658
Merced Golf & Country Club,6333 Golf Rd,Merced,CA,95340-9123,Private,18 Holes,(209) 722-3357,-120.450243,37.38039
Mill Valley Golf Course,280 Buena Vista Ave,Mill Valley,CA,94941-1205,Municipal,9 Holes,(415) 388-9982,-122.53799,37.90957
Green Hills Country Club,500 Ludeman Ln,Millbrae,CA,94030,Private,18 Holes,(650) 648-9951,-122.407033,37.605188
Spring Valley Golf Course,3441 Calaveras Rd,Milpitas,CA,95035-7214,Public,18 Holes,(408) 262-1722,-121.842525,37.444999
Summitpointe Golf Club,1500 Country Club Dr,Milpitas,CA,95035-3456,Public,18 Holes,(408) 262-8816,-121.881328,37.455502
Goose Creek Golf Course,11418 68th St,Mira Loma,CA,11418,Public,18 Holes,(951) 735-3982,-117.532521,33.964418
Mission Viejo Country Club,26200 Country Club Dr,Mission Viejo,CA,26200,Private,27 Holes,(949) 582-1550,-117.663099,33.581803
Arroyo Trabuco Golf Course,26772 Avery Pkwy,Mission Viejo,CA,26772,Public,18 Holes,(949) 305-5100,-117.664773,33.542236
Casta del Sol Golf Course,27601 Casta del Sol,Mission Viejo,CA,27601,Public,18 Holes,(949) 470-4996,-117.6489,33.616246
Creekside Golf Course,701 Lincoln Ave,Modesto,CA,95354-2003,Municipal,18 Holes,(209) 571-5123,-120.939291,37.649294
Dryden Park Golf Course,920 Sunset Ave,Modesto,CA,95351-3763,Municipal,18 Holes,(209) 577-5359,-121.002377,37.618025
Modesto Municipal Golf Course,400 Tuolumne Blvd,Modesto,CA,95351-3706,Municipal,9 Holes,(209) 577-5360,-120.999344,37.627629
Del Rio Country Club,801 Stewart Rd,Modesto,CA,95356-9639,Private,36 Holes,(209) 341-2414,-121.004423,37.74264
St Stanislaus Golf Course,5000 Crows Landing Rd,Modesto,CA,95358-9300,Public,9 Holes,(209) 538-2828,-120.993491,37.565469
Monarch Beach Golf Links,33033 Niguel Rd,Monarch Beach,CA,33033,Public,18 Holes,(949) 240-8447,-117.714463,33.48211
Shasta Valley Country Club,500 Golf Course Rd,Montague,CA,96064-9327,Public,9 Holes,(530) 842-2302,-122.566376,41.723255
Northwood Golf Club,19400 Hwy 116,Monte Rio,CA,19400,Public,9 Holes,(707) 865-1116,-122.997496,38.477705
Montebello Golf Course,901 Via San Clemente,Montebello,CA,90640-1610,Municipal,18 Holes,(323) 887-4565,-118.131938,34.028583
Monterey Park Golf Course,3600 W Ramona Blvd,Monterey Park,CA,91754-2104,Municipal,9 Holes,(323) 266-4632,-118.162042,34.061315
Pasadera Golf & Country Club,100 Pasadera Dr,Monterey,CA,93940-7637,Semi Private,18 Holes,(831) 647-2400,-121.775728,36.571249
Del Monte Golf Course,1300 Sylvan Rd,Monterey,CA,93940-4944,Public,18 Holes,(800) 654-9300,-121.871445,36.593203
Laguna Seca Golf Club,10520 York Rd,Monterey,CA,10520,Public,18 Holes,(888) 524-8629,-121.79046,36.574854
Monterey Pines Golf Course,Fairground & Gardens Road,Monterey,CA,93940,Public,18 Holes,(831) 656-2167,-121.866149,36.593249
Moorpark Country Club,11800 Championship Dr,Moorpark,CA,11800,Public,54 Holes,(805) 532-2834,-118.898168,34.305415
Rustic Canyon Golf Course,13505 Broadway Rd,Moorpark,CA,13505,Public,18 Holes,(805) 530-0221,-118.877794,34.31529
Tierra Rejada Golf Club,15187 Tierra Rejada Rd,Moorpark,CA,15187,Public,18 Holes,(805) 531-9300,-118.847027,34.268773
Moraga Country Club,1600 Saint Andrews Dr,Moraga,CA,94556-1132,Private,18 Holes,(925) 376-2200,-122.136565,37.835816
Cottonwood Golf Center,13671 Frederick St,Moreno Valley,CA,13671,Municipal,9 Holes,(951) 413-3290,-117.261294,33.922019
Moreno Valley Ranch Golf Club,28095 John F Kennedy Dr,Moreno Valley,CA,28095,Public,54 Holes,(951) 924-4444,-117.171175,33.902705
Quail Ranch Golf Club,15960 Gilman Springs Rd,Moreno Valley,CA,15960,Public,18 Holes,(951) 654-2727,-117.07921,33.892384
The Institute LLC,14830 Foothill Ave,Morgan Hill,CA,14830,Private,18 Holes,(408) 782-7101,-121.591958,37.11406
Coyote Creek Golf Club,1 Coyote Creek Golf Dr,Morgan Hill,CA,95037-9052,Public,36 Holes,(408) 463-1400,-121.696645,37.188773
Morro Bay Golf Course,201 State Park Rd,Morro Bay,CA,93442-2438,Municipal,18 Holes,(805) 781-1318,-120.843144,35.350027
Mount Shasta Resort,1000 Siskiyou Lake Blvd,Mount Shasta,CA,96067-9482,Public,18 Holes,(800) 958-3363,-122.318513,41.287142
