Always equal to ACS Summary File identification,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Median Value,Median Household Income (In 2022 Inflation Adjusted Dollars),Total Population,Housing Units,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Median Gross Rent,Occupied Housing Units,Occupied Housing Units: Built 2020 or Later,Occupied Housing Units: Built 2010 to 2019,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Year Structure Built,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Vacant Housing Units:,Vacant Housing Units: For Rent,Vacant Housing Units: For Sale Only,Vacant Housing Units: Other Vacant
ACSSF,HI,150,0,15,3,3604,1,1500000US150030036041,"Block Group 1, Census Tract 36.04, Honolulu County, Hawaii",,,1.50E+11,103339,0,15,"Block Group 1, Census Tract 36.04, Honolulu County, Hawaii",453600,39123,1000,676,0.039899413,0.039899413,0,1589,528,0,47,7,0,38,207,159,66,4,0,1974,528,191,337,148,0,0,148
ACSSF,HI,150,0,15,3,3604,2,1500000US150030036042,"Block Group 2, Census Tract 36.04, Honolulu County, Hawaii",,,1.50E+11,85793,0,15,"Block Group 2, Census Tract 36.04, Honolulu County, Hawaii",442000,69205,1140,847,0.033124864,0.033124864,0,1400,633,0,25,0,0,37,122,394,55,0,0,1967,633,191,442,214,25,64,125
ACSSF,HI,150,0,15,3,3605,1,1500000US150030036051,"Block Group 1, Census Tract 36.05, Honolulu County, Hawaii",,,1.50E+11,154110,0,15,"Block Group 1, Census Tract 36.05, Honolulu County, Hawaii",,52361,825,503,0.059502207,0.059502207,0,1466,447,0,0,0,0,65,180,108,44,31,19,1971,447,41,406,56,0,0,56
ACSSF,HI,150,0,15,3,3606,1,1500000US150030036061,"Block Group 1, Census Tract 36.06, Honolulu County, Hawaii",,,1.50E+11,163057,0,15,"Block Group 1, Census Tract 36.06, Honolulu County, Hawaii",492600,76250,1577,695,0.062956661,0.062956661,0,1227,663,0,0,66,74,114,235,79,64,31,0,1976,663,100,563,32,9,0,23
ACSSF,HI,150,0,15,3,3606,2,1500000US150030036062,"Block Group 2, Census Tract 36.06, Honolulu County, Hawaii",,,1.50E+11,61341,0,15,"Block Group 2, Census Tract 36.06, Honolulu County, Hawaii",865600,95556,1291,937,0.023683894,0.023683894,0,1922,712,0,42,526,0,0,19,17,20,45,43,2004,712,372,340,225,48,0,177
ACSSF,HI,150,0,15,3,3701,1,1500000US150030037011,"Block Group 1, Census Tract 37.01, Honolulu County, Hawaii",,,1.50E+11,27297,3359,15,"Block Group 1, Census Tract 37.01, Honolulu County, Hawaii",447500,52778,344,275,0.011836348,0.010539431,0.001296917,1436,230,0,0,0,0,10,74,54,13,79,0,1968,230,102,128,45,45,0,0
ACSSF,HI,150,0,15,3,3701,2,1500000US150030037012,"Block Group 2, Census Tract 37.01, Honolulu County, Hawaii",,,1.50E+11,34207,3668,15,"Block Group 2, Census Tract 37.01, Honolulu County, Hawaii",656300,173088,711,365,0.01462362,0.013207397,0.001416223,2118,312,0,0,52,0,0,138,66,56,0,0,1972,312,145,167,53,0,15,38
ACSSF,HI,150,0,15,3,3701,3,1500000US150030037013,"Block Group 3, Census Tract 37.01, Honolulu County, Hawaii",,,1.50E+11,45069,0,15,"Block Group 3, Census Tract 37.01, Honolulu County, Hawaii",850100,47088,1454,619,0.017401239,0.017401239,0,2011,619,0,441,0,0,0,121,36,0,0,21,2013,619,469,150,0,0,0,0
ACSSF,HI,150,0,15,3,3701,4,1500000US150030037014,"Block Group 4, Census Tract 37.01, Honolulu County, Hawaii",,,1.50E+11,50330,6620,15,"Block Group 4, Census Tract 37.01, Honolulu County, Hawaii",,,0,0,0.021988519,0.019432522,0.002555996,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACSSF,HI,150,0,15,3,3702,1,1500000US150030037021,"Block Group 1, Census Tract 37.02, Honolulu County, Hawaii",,,1.50E+11,45915,0,15,"Block Group 1, Census Tract 37.02, Honolulu County, Hawaii",736900,,369,359,0.017727882,0.017727882,0,3339,222,0,0,9,108,0,105,0,0,0,0,1993,222,127,95,137,0,0,137
ACSSF,HI,150,0,15,3,3702,2,1500000US150030037022,"Block Group 2, Census Tract 37.02, Honolulu County, Hawaii",,,1.50E+11,22468,0,15,"Block Group 2, Census Tract 37.02, Honolulu County, Hawaii",955400,129611,1459,910,0.008674944,0.008674944,0,3501,689,0,287,316,59,27,0,0,0,0,0,2008,689,335,354,221,0,0,221
ACSSF,HI,150,0,15,3,3702,3,1500000US150030037023,"Block Group 3, Census Tract 37.02, Honolulu County, Hawaii",,,1.50E+11,166022,0,15,"Block Group 3, Census Tract 37.02, Honolulu County, Hawaii",1108900,61653,1168,1066,0.064101458,0.064101458,0,1728,717,0,296,0,406,15,0,0,0,0,0,2012,717,190,527,349,0,47,302
ACSSF,HI,150,0,15,3,3702,4,1500000US150030037024,"Block Group 4, Census Tract 37.02, Honolulu County, Hawaii",,,1.50E+11,30580,0,15,"Block Group 4, Census Tract 37.02, Honolulu County, Hawaii",,123306,140,115,0.011807005,0.011807005,0,,72,0,45,0,0,0,10,17,0,0,0,2013,72,41,31,43,0,0,43
ACSSF,HI,150,0,15,3,3703,1,1500000US150030037031,"Block Group 1, Census Tract 37.03, Honolulu County, Hawaii",,,1.50E+11,82532,0,15,"Block Group 1, Census Tract 37.03, Honolulu County, Hawaii",886500,124786,1113,826,0.031865783,0.031865783,0,3111,664,0,338,326,0,0,0,0,0,0,0,2011,664,487,177,162,21,0,141
ACSSF,HI,150,0,15,3,3703,2,1500000US150030037032,"Block Group 2, Census Tract 37.03, Honolulu County, Hawaii",,,1.50E+11,52014,0,15,"Block Group 2, Census Tract 37.03, Honolulu County, Hawaii",1645700,2499,482,382,0.020082718,0.020082718,0,,289,0,75,0,0,0,0,0,0,0,214,1938,289,289,0,93,15,0,78
ACSSF,HI,150,0,15,3,3703,3,1500000US150030037033,"Block Group 3, Census Tract 37.03, Honolulu County, Hawaii",,,1.50E+11,72085,0,15,"Block Group 3, Census Tract 37.03, Honolulu County, Hawaii",773400,87667,797,760,0.027832175,0.027832175,0,2494,444,0,26,78,79,24,0,149,88,0,0,1991,444,193,251,316,0,0,316
ACSSF,HI,150,0,15,3,3703,4,1500000US150030037034,"Block Group 4, Census Tract 37.03, Honolulu County, Hawaii",,,1.50E+11,504791,912567,15,"Block Group 4, Census Tract 37.03, Honolulu County, Hawaii",,,0,0,0.547245026,0.1949009,0.352344096,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACSSF,HI,150,0,15,3,3703,5,1500000US150030037035,"Block Group 5, Census Tract 37.03, Honolulu County, Hawaii",,,1.50E+11,638350,0,15,"Block Group 5, Census Tract 37.03, Honolulu County, Hawaii",2000001,170486,410,401,0.24646832,0.24646832,0,,159,0,86,0,27,0,0,0,11,35,0,2011,159,102,57,242,0,0,242
ACSSF,HI,150,0,15,3,3801,1,1500000US150030038011,"Block Group 1, Census Tract 38.01, Honolulu County, Hawaii",,,1.50E+11,105875,0,15,"Block Group 1, Census Tract 38.01, Honolulu County, Hawaii",888000,43877,1604,1023,0.040878568,0.040878568,0,1367,974,0,521,0,273,91,89,0,0,0,0,2010,974,237,737,49,0,0,49
ACSSF,HI,150,0,15,3,3801,2,1500000US150030038012,"Block Group 2, Census Tract 38.01, Honolulu County, Hawaii",,,1.50E+11,113623,0,15,"Block Group 2, Census Tract 38.01, Honolulu County, Hawaii",644500,90380,1568,605,0.043870088,0.043870088,0,1701,605,0,324,0,202,5,74,0,0,0,0,2011,605,316,289,0,0,0,0
ACSSF,HI,150,0,15,3,3801,3,1500000US150030038013,"Block Group 3, Census Tract 38.01, Honolulu County, Hawaii",,,1.50E+11,188382,53596,15,"Block Group 3, Census Tract 38.01, Honolulu County, Hawaii",,,0,0,0.093428232,0.072734699,0.020693531,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACSSF,HI,150,0,15,3,3801,4,1500000US150030038014,"Block Group 4, Census Tract 38.01, Honolulu County, Hawaii",,,1.50E+11,119233,0,15,"Block Group 4, Census Tract 38.01, Honolulu County, Hawaii",780400,72565,1639,1026,0.046036121,0.046036121,0,1939,959,0,551,0,305,33,46,0,24,0,0,2012,959,583,376,67,0,0,67
ACSSF,HI,150,0,15,3,3801,5,1500000US150030038015,"Block Group 5, Census Tract 38.01, Honolulu County, Hawaii",,,1.50E+11,346810,320856,15,"Block Group 5, Census Tract 38.01, Honolulu County, Hawaii",,,3,0,0.257787287,0.133904099,0.123883203,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACSSF,HI,150,0,15,3,3802,1,1500000US150030038021,"Block Group 1, Census Tract 38.02, Honolulu County, Hawaii",,,1.50E+11,89566,0,15,"Block Group 1, Census Tract 38.02, Honolulu County, Hawaii",,,265,233,0.034581628,0.034581628,0,,170,0,0,0,76,20,0,0,0,74,0,1992,170,76,94,63,0,0,63
ACSSF,HI,150,0,15,3,3802,2,1500000US150030038022,"Block Group 2, Census Tract 38.02, Honolulu County, Hawaii",,,1.50E+11,42343,0,15,"Block Group 2, Census Tract 38.02, Honolulu County, Hawaii",620800,106939,2323,1304,0.016348725,0.016348725,0,2467,1173,0,1037,0,0,136,0,0,0,0,0,2014,1173,652,521,131,0,0,131
ACSSF,HI,150,0,15,3,3802,3,1500000US150030038023,"Block Group 3, Census Tract 38.02, Honolulu County, Hawaii",,,1.50E+11,27731,0,15,"Block Group 3, Census Tract 38.02, Honolulu County, Hawaii",804700,126058,1061,490,0.010706999,0.010706999,0,,490,0,0,490,0,0,0,0,0,0,0,,490,429,61,0,0,0,0
ACSSF,HI,150,0,15,3,3802,4,1500000US150030038024,"Block Group 4, Census Tract 38.02, Honolulu County, Hawaii",,,1.50E+11,24138,0,15,"Block Group 4, Census Tract 38.02, Honolulu County, Hawaii",,,0,0,0.009319735,0.009319735,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACSSF,HI,150,0,15,3,3802,5,1500000US150030038025,"Block Group 5, Census Tract 38.02, Honolulu County, Hawaii",,,1.50E+11,109618,0,15,"Block Group 5, Census Tract 38.02, Honolulu County, Hawaii",925400,102448,1343,813,0.04232375,0.04232375,0,2664,813,0,496,66,88,125,38,0,0,0,0,2012,813,443,370,0,0,0,0
ACSSF,HI,150,0,15,3,3900,1,1500000US150030039001,"Block Group 1, Census Tract 39, Honolulu County, Hawaii",,,1.50E+11,995333,424713,15,"Block Group 1, Census Tract 39, Honolulu County, Hawaii",398300,19524,343,277,0.548282862,0.384300232,0.163982615,724,264,0,8,9,200,0,21,8,18,0,0,1994,264,59,205,13,13,0,0
ACSSF,HI,150,0,15,3,4000,1,1500000US150030040001,"Block Group 1, Census Tract 40, Honolulu County, Hawaii",,,1.50E+11,205550,0,15,"Block Group 1, Census Tract 40, Honolulu County, Hawaii",469600,73810,952,689,0.079363301,0.079363301,0,2347,524,0,0,38,21,180,210,48,10,0,17,1979,524,236,288,165,34,0,131
ACSSF,HI,150,0,15,3,4000,2,1500000US150030040002,"Block Group 2, Census Tract 40, Honolulu County, Hawaii",,,1.50E+11,92492,0,15,"Block Group 2, Census Tract 40, Honolulu County, Hawaii",818500,56813,516,329,0.035711363,0.035711363,0,1334,249,0,0,0,111,75,22,28,6,0,7,1986,249,67,182,80,72,0,8
ACSSF,HI,150,0,15,3,4101,1,1500000US150030041011,"Block Group 1, Census Tract 41.01, Honolulu County, Hawaii",,,1.50E+11,27329,0,15,"Block Group 1, Census Tract 41.01, Honolulu County, Hawaii",398400,86946,549,409,0.010551786,0.010551786,0,1246,371,0,18,0,28,15,203,99,0,8,0,1974,371,162,209,38,0,0,38
ACSSF,HI,150,0,15,3,4101,2,1500000US150030041012,"Block Group 2, Census Tract 41.01, Honolulu County, Hawaii",,,1.50E+11,131959,0,15,"Block Group 2, Census Tract 41.01, Honolulu County, Hawaii",497100,26596,898,478,0.050949655,0.050949655,0,1284,469,0,4,44,0,24,180,150,36,8,23,1971,469,124,345,9,0,0,9
ACSSF,HI,150,0,15,3,4102,1,1500000US150030041021,"Block Group 1, Census Tract 41.02, Honolulu County, Hawaii",,,1.50E+11,29650,0,15,"Block Group 1, Census Tract 41.02, Honolulu County, Hawaii",339700,62071,840,534,0.01144793,0.01144793,0,1746,534,0,0,0,70,0,421,43,0,0,0,1975,534,229,305,0,0,0,0
ACSSF,HI,150,0,15,3,4102,2,1500000US150030041022,"Block Group 2, Census Tract 41.02, Honolulu County, Hawaii",,,1.50E+11,104076,0,15,"Block Group 2, Census Tract 41.02, Honolulu County, Hawaii",353900,61339,1105,570,0.040183969,0.040183969,0,1307,525,0,0,9,74,39,239,108,56,0,0,1973,525,189,336,45,0,10,35
ACSSF,HI,150,0,15,3,4102,3,1500000US150030041023,"Block Group 3, Census Tract 41.02, Honolulu County, Hawaii",,,1.50E+11,380599,0,15,"Block Group 3, Census Tract 41.02, Honolulu County, Hawaii",387500,,632,268,0.146950096,0.146950096,0,1108,259,0,0,0,0,58,106,78,17,0,0,1973,259,76,183,9,0,0,9
ACSSF,HI,150,0,15,3,4201,1,1500000US150030042011,"Block Group 1, Census Tract 42.01, Honolulu County, Hawaii",,,1.50E+11,12922,0,15,"Block Group 1, Census Tract 42.01, Honolulu County, Hawaii",394500,81550,731,442,0.004989212,0.004989212,0,1752,417,0,0,0,0,18,354,28,17,0,0,1975,417,225,192,25,0,0,25
ACSSF,HI,150,0,15,3,4201,2,1500000US150030042012,"Block Group 2, Census Tract 42.01, Honolulu County, Hawaii",,,1.50E+11,23965,0,15,"Block Group 2, Census Tract 42.01, Honolulu County, Hawaii",429000,96574,797,538,0.009252938,0.009252938,0,1750,538,0,0,0,0,13,461,39,25,0,0,1974,538,220,318,0,0,0,0
ACSSF,HI,150,0,15,3,4202,1,1500000US150030042021,"Block Group 1, Census Tract 42.02, Honolulu County, Hawaii",,,1.50E+11,110245,0,15,"Block Group 1, Census Tract 42.02, Honolulu County, Hawaii",898700,199792,852,430,0.042565834,0.042565834,0,3501,387,0,22,294,0,50,5,16,0,0,0,2004,387,287,100,43,0,0,43
ACSSF,HI,150,0,15,3,4202,2,1500000US150030042022,"Block Group 2, Census Tract 42.02, Honolulu County, Hawaii",,,1.50E+11,111666,0,15,"Block Group 2, Census Tract 42.02, Honolulu County, Hawaii",369600,,692,644,0.043114487,0.043114487,0,1812,508,0,0,0,11,14,115,295,55,0,18,1966,508,253,255,136,0,46,90
ACSSF,HI,150,0,15,3,4301,1,1500000US150030043011,"Block Group 1, Census Tract 43.01, Honolulu County, Hawaii",,,1.50E+11,88468,0,15,"Block Group 1, Census Tract 43.01, Honolulu County, Hawaii",708300,,743,345,0.034157686,0.034157686,0,1821,308,0,0,0,0,92,135,13,27,0,41,1976,308,100,208,37,0,0,37
ACSSF,HI,150,0,15,3,4301,2,1500000US150030043012,"Block Group 2, Census Tract 43.01, Honolulu County, Hawaii",,,1.50E+11,855370,0,15,"Block Group 2, Census Tract 43.01, Honolulu County, Hawaii",636000,103229,1793,708,0.330260217,0.330260217,0,,623,0,72,28,15,145,202,117,32,0,12,1975,623,419,204,85,0,0,85
ACSSF,HI,150,0,15,3,4302,1,1500000US150030043021,"Block Group 1, Census Tract 43.02, Honolulu County, Hawaii",,,1.50E+11,111837,0,15,"Block Group 1, Census Tract 43.02, Honolulu County, Hawaii",925000,105146,1316,433,0.04318051,0.04318051,0,2529,433,0,0,0,0,19,149,100,93,72,0,1965,433,126,307,0,0,0,0
ACSSF,HI,150,0,15,3,4302,2,1500000US150030043022,"Block Group 2, Census Tract 43.02, Honolulu County, Hawaii",,,1.50E+11,159191,0,15,"Block Group 2, Census Tract 43.02, Honolulu County, Hawaii",,52688,860,450,0.061463993,0.061463993,0,1372,333,0,0,0,45,0,62,145,28,34,19,1967,333,41,292,117,95,0,22
ACSSF,HI,150,0,15,3,4302,3,1500000US150030043023,"Block Group 3, Census Tract 43.02, Honolulu County, Hawaii",,,1.50E+11,118126,0,15,"Block Group 3, Census Tract 43.02, Honolulu County, Hawaii",761400,44826,580,508,0.045608707,0.045608707,0,1538,267,0,20,43,22,0,47,14,49,17,55,1977,267,107,160,241,0,0,241
ACSSF,HI,150,0,15,3,4401,1,1500000US150030044011,"Block Group 1, Census Tract 44.01, Honolulu County, Hawaii",,,1.50E+11,158709,0,15,"Block Group 1, Census Tract 44.01, Honolulu County, Hawaii",1052200,101313,471,250,0.061277889,0.061277889,0,2145,197,0,0,17,30,28,26,25,26,40,5,1960,197,138,59,53,24,0,29
ACSSF,HI,150,0,15,3,4401,2,1500000US150030044012,"Block Group 2, Census Tract 44.01, Honolulu County, Hawaii",,,1.50E+11,180142,0,15,"Block Group 2, Census Tract 44.01, Honolulu County, Hawaii",1033000,,1145,355,0.069553219,0.069553219,0,1218,302,11,0,18,9,59,37,35,90,15,28,1963,302,207,95,53,0,0,53
ACSSF,HI,150,0,15,3,4401,3,1500000US150030044013,"Block Group 3, Census Tract 44.01, Honolulu County, Hawaii",,,1.50E+11,141900,0,15,"Block Group 3, Census Tract 44.01, Honolulu County, Hawaii",985500,73300,724,292,0.0547879,0.0547879,0,,292,0,0,0,3,61,20,10,13,101,84,1946,292,192,100,0,0,0,0
ACSSF,HI,150,0,15,3,4402,1,1500000US150030044021,"Block Group 1, Census Tract 44.02, Honolulu County, Hawaii",,,1.50E+11,534255,0,15,"Block Group 1, Census Tract 44.02, Honolulu County, Hawaii",657200,111607,1668,437,0.206277013,0.206277013,0,817,407,1,37,36,54,37,96,56,36,48,6,1976,407,373,34,30,1,0,29
ACSSF,HI,150,0,15,3,4402,2,1500000US150030044022,"Block Group 2, Census Tract 44.02, Honolulu County, Hawaii",,,1.50E+11,2704638,0,15,"Block Group 2, Census Tract 44.02, Honolulu County, Hawaii",1011100,153906,1037,459,1.044266582,1.044266582,0,2160,442,0,69,6,0,43,10,91,135,35,53,1960,442,352,90,17,9,0,8
ACSSF,HI,150,0,15,3,4500,1,1500000US150030045001,"Block Group 1, Census Tract 45, Honolulu County, Hawaii",,,1.50E+11,658540,0,15,"Block Group 1, Census Tract 45, Honolulu County, Hawaii",1571400,74844,1156,544,0.254263729,0.254263729,0,1434,502,0,0,49,63,28,0,78,86,26,172,1956,502,424,78,42,0,0,42
ACSSF,HI,150,0,15,3,4500,2,1500000US150030045002,"Block Group 2, Census Tract 45, Honolulu County, Hawaii",,,1.50E+11,6088994,222694,15,"Block Group 2, Census Tract 45, Honolulu County, Hawaii",1398100,141250,1460,523,2.436956406,2.350973845,0.085982636,1205,374,0,37,0,16,46,0,73,148,39,15,1959,374,296,78,149,0,42,107
ACSSF,HI,150,0,15,3,4500,3,1500000US150030045003,"Block Group 3, Census Tract 45, Honolulu County, Hawaii",,,1.50E+11,254176,0,15,"Block Group 3, Census Tract 45, Honolulu County, Hawaii",543700,111303,1528,1104,0.098137908,0.098137908,0,2826,871,0,161,0,44,231,327,94,14,0,0,1981,871,375,496,233,115,0,118
ACSSF,HI,150,0,15,3,4500,4,1500000US150030045004,"Block Group 4, Census Tract 45, Honolulu County, Hawaii",,,1.50E+11,712830,0,15,"Block Group 4, Census Tract 45, Honolulu County, Hawaii",2000001,181333,811,322,0.275225222,0.275225222,0,,322,0,3,21,0,126,0,74,16,30,52,1969,322,307,15,0,0,0,0
ACSSF,HI,150,0,15,3,4600,1,1500000US150030046001,"Block Group 1, Census Tract 46, Honolulu County, Hawaii",,,1.50E+11,6014290,15431,15,"Block Group 1, Census Tract 46, Honolulu County, Hawaii",1631600,227727,1020,308,2.328088284,2.322130442,0.005957942,3501,308,0,33,24,39,0,0,30,111,59,12,1957,308,266,42,0,0,0,0
ACSSF,HI,150,0,15,3,4600,2,1500000US150030046002,"Block Group 2, Census Tract 46, Honolulu County, Hawaii",,,1.50E+11,362162,0,15,"Block Group 2, Census Tract 46, Honolulu County, Hawaii",1183400,176389,843,262,0.139831543,0.139831543,0,,262,0,9,0,37,0,7,69,98,9,33,1959,262,215,47,0,0,0,0
ACSSF,HI,150,0,15,3,4600,3,1500000US150030046003,"Block Group 3, Census Tract 46, Honolulu County, Hawaii",,,1.50E+11,313672,0,15,"Block Group 3, Census Tract 46, Honolulu County, Hawaii",1197400,107153,1150,379,0.121109441,0.121109441,0,2620,351,0,14,17,24,89,43,53,7,40,64,1970,351,243,108,28,0,7,21
ACSSF,HI,150,0,15,3,4600,4,1500000US150030046004,"Block Group 4, Census Tract 46, Honolulu County, Hawaii",,,1.50E+11,166775,0,15,"Block Group 4, Census Tract 46, Honolulu County, Hawaii",1104700,141042,767,223,0.064392187,0.064392187,0,1917,161,0,0,10,0,30,23,32,38,6,22,1962,161,126,35,62,0,0,62
ACSSF,HI,150,0,15,3,4701,1,1500000US150030047011,"Block Group 1, Census Tract 47.01, Honolulu County, Hawaii",,,1.50E+11,308813,0,15,"Block Group 1, Census Tract 47.01, Honolulu County, Hawaii",1162000,134167,1345,340,0.11923337,0.11923337,0,3022,340,0,0,22,11,19,50,101,52,78,7,1963,340,275,65,0,0,0,0
ACSSF,HI,150,0,15,3,4701,2,1500000US150030047012,"Block Group 2, Census Tract 47.01, Honolulu County, Hawaii",,,1.50E+11,314744,0,15,"Block Group 2, Census Tract 47.01, Honolulu County, Hawaii",1023100,122206,1173,488,0.121523343,0.121523343,0,2158,452,0,18,39,35,4,78,85,123,21,49,1962,452,371,81,36,0,0,36
ACSSF,HI,150,0,15,3,4702,1,1500000US150030047021,"Block Group 1, Census Tract 47.02, Honolulu County, Hawaii",,,1.50E+11,185645,0,15,"Block Group 1, Census Tract 47.02, Honolulu County, Hawaii",979600,166375,771,230,0.071677938,0.071677938,0,2667,230,0,12,0,11,13,0,11,149,17,17,1955,230,198,32,0,0,0,0
ACSSF,HI,150,0,15,3,4702,2,1500000US150030047022,"Block Group 2, Census Tract 47.02, Honolulu County, Hawaii",,,1.50E+11,351885,0,15,"Block Group 2, Census Tract 47.02, Honolulu County, Hawaii",1151200,,679,302,0.135863557,0.135863557,0,1839,273,0,0,50,1,0,18,21,72,76,35,1952,273,161,112,29,0,0,29
ACSSF,HI,150,0,15,3,4702,3,1500000US150030047023,"Block Group 3, Census Tract 47.02, Honolulu County, Hawaii",,,1.50E+11,221847,0,15,"Block Group 3, Census Tract 47.02, Honolulu County, Hawaii",1237700,133902,1026,320,0.085655607,0.085655607,0,2361,273,23,34,5,9,11,53,32,56,13,37,1962,273,153,120,47,0,0,47
ACSSF,HI,150,0,15,3,4801,1,1500000US150030048011,"Block Group 1, Census Tract 48.01, Honolulu County, Hawaii",,,1.50E+11,2540676,0,15,"Block Group 1, Census Tract 48.01, Honolulu County, Hawaii",1164300,,834,189,0.980960548,0.980960548,0,,189,0,0,10,0,7,0,96,26,50,0,1962,189,182,7,0,0,0,0
ACSSF,HI,150,0,15,3,4801,2,1500000US150030048012,"Block Group 2, Census Tract 48.01, Honolulu County, Hawaii",,,1.50E+11,300095,0,15,"Block Group 2, Census Tract 48.01, Honolulu County, Hawaii",711500,167045,882,282,0.115867332,0.115867332,0,1460,282,0,0,0,48,11,0,108,16,3,96,1962,282,154,128,0,0,0,0
ACSSF,HI,150,0,15,3,4801,3,1500000US150030048013,"Block Group 3, Census Tract 48.01, Honolulu County, Hawaii",,,1.50E+11,148300,0,15,"Block Group 3, Census Tract 48.01, Honolulu County, Hawaii",1080400,88645,1285,499,0.057258952,0.057258952,0,2039,492,0,0,11,0,0,10,78,60,292,41,1947,492,377,115,7,7,0,0
ACSSF,HI,150,0,15,3,4802,1,1500000US150030048021,"Block Group 1, Census Tract 48.02, Honolulu County, Hawaii",,,1.50E+11,230509,0,15,"Block Group 1, Census Tract 48.02, Honolulu County, Hawaii",1138900,103816,1584,482,0.089000024,0.089000024,0,2057,460,0,9,18,19,27,30,89,85,37,146,1957,460,338,122,22,0,0,22
ACSSF,HI,150,0,15,3,4802,2,1500000US150030048022,"Block Group 2, Census Tract 48.02, Honolulu County, Hawaii",,,1.50E+11,113833,0,15,"Block Group 2, Census Tract 48.02, Honolulu County, Hawaii",1073500,112778,857,294,0.043951169,0.043951169,0,,248,0,0,0,72,18,51,27,50,0,30,1969,248,116,132,46,0,0,46
ACSSF,HI,150,0,15,3,4802,3,1500000US150030048023,"Block Group 3, Census Tract 48.02, Honolulu County, Hawaii",,,1.50E+11,156539,0,15,"Block Group 3, Census Tract 48.02, Honolulu County, Hawaii",1343800,,1067,281,0.060440049,0.060440049,0,997,281,0,33,16,24,9,63,72,11,31,22,1971,281,94,187,0,0,0,0
ACSSF,HI,150,0,15,3,4900,1,1500000US150030049001,"Block Group 1, Census Tract 49, Honolulu County, Hawaii",,,1.50E+11,131266,0,15,"Block Group 1, Census Tract 49, Honolulu County, Hawaii",1037300,79750,1776,382,0.050682086,0.050682086,0,1906,382,5,10,65,76,22,16,81,42,31,34,1972,382,197,185,0,0,0,0
ACSSF,HI,150,0,15,3,4900,2,1500000US150030049002,"Block Group 2, Census Tract 49, Honolulu County, Hawaii",,,1.50E+11,187821,0,15,"Block Group 2, Census Tract 49, Honolulu County, Hawaii",856300,84750,1191,391,0.072518095,0.072518095,0,1690,372,0,0,20,52,43,113,74,7,45,18,1974,372,93,279,19,0,0,19
ACSSF,HI,150,0,15,3,4900,3,1500000US150030049003,"Block Group 3, Census Tract 49, Honolulu County, Hawaii",,,1.50E+11,92322,0,15,"Block Group 3, Census Tract 49, Honolulu County, Hawaii",464700,76250,809,329,0.035645723,0.035645723,0,1667,299,0,0,0,25,26,157,49,16,13,13,1973,299,174,125,30,0,0,30
ACSSF,HI,150,0,15,3,5000,1,1500000US150030050001,"Block Group 1, Census Tract 50, Honolulu County, Hawaii",,,1.50E+11,182649,0,15,"Block Group 1, Census Tract 50, Honolulu County, Hawaii",925000,59966,1114,518,0.070521176,0.070521176,0,1051,459,6,7,0,22,45,263,74,17,18,7,1974,459,197,262,59,17,0,42
ACSSF,HI,150,0,15,3,5000,2,1500000US150030050002,"Block Group 2, Census Tract 50, Honolulu County, Hawaii",,,1.50E+11,115070,0,15,"Block Group 2, Census Tract 50, Honolulu County, Hawaii",545000,68929,865,355,0.044428777,0.044428777,0,2253,336,0,0,55,26,96,102,25,19,0,13,1980,336,233,103,19,0,0,19
ACSSF,HI,150,0,15,3,5000,3,1500000US150030050003,"Block Group 3, Census Tract 50, Honolulu County, Hawaii",,,1.50E+11,122421,0,15,"Block Group 3, Census Tract 50, Honolulu County, Hawaii",724200,50208,791,271,0.047267016,0.047267016,0,1683,271,0,0,0,17,17,72,81,19,14,51,1966,271,165,106,0,0,0,0
ACSSF,HI,150,0,15,3,5000,4,1500000US150030050004,"Block Group 4, Census Tract 50, Honolulu County, Hawaii",,,1.50E+11,128002,0,15,"Block Group 4, Census Tract 50, Honolulu County, Hawaii",513900,54537,1010,512,0.049421851,0.049421851,0,1476,412,0,0,10,159,26,58,111,29,19,0,1973,412,17,395,100,55,0,45
ACSSF,HI,150,0,15,3,5100,1,1500000US150030051001,"Block Group 1, Census Tract 51, Honolulu County, Hawaii",,,1.50E+11,15901,0,15,"Block Group 1, Census Tract 51, Honolulu County, Hawaii",591500,109250,1701,1017,0.006139411,0.006139411,0,2486,939,0,0,20,148,553,120,45,45,8,0,1985,939,473,466,78,0,0,78
